M,N,K,o_kid,hint_mode,o_us,o_slow,oracle_kid,oracle_us,prod_kid,prod_lib,prod_is_default,prod_us,prod_slow,default_us,default_slow,o_vs_default,o_vs_prod,n_ok
33024,64,128,3,nt_a,inf,,16,15.144,7,default,1,18.012,1.1894,18.012,1.1894,,,15
193,128,4608,8,base,22.333,1.127,6,19.816,7,default,1,25.616,1.2927,25.616,1.2927,0.8718,0.8718,19
246,128,4608,8,base,22.136,1.1028,6,20.072,7,default,1,25.772,1.284,25.772,1.284,0.8589,0.8589,19
1910,128,4608,8,nt_a,22.728,1.0,8,22.728,7,default,1,26.192,1.1524,26.192,1.1524,0.8677,0.8677,19
2008,128,4608,8,nt_a,22.828,1.0,8,22.828,7,default,1,25.944,1.1365,25.944,1.1365,0.8799,0.8799,19
2315,128,4608,13,nt_a,27.076,1.0813,5,25.04,7,default,1,26.476,1.0574,26.476,1.0574,1.0227,1.0227,19
2360,128,4608,13,nt_a,27.172,1.0864,5,25.012,7,default,1,25.932,1.0368,25.932,1.0368,1.0478,1.0478,19
2490,128,4608,13,nt_a,27.304,1.0811,5,25.256,7,default,1,25.836,1.023,25.836,1.023,1.0568,1.0568,19
2916,128,4608,13,nt_a,27.617,1.1114,5,24.848,7,default,1,25.924,1.0433,25.924,1.0433,1.0653,1.0653,19
3013,128,4608,13,nt_a,27.156,1.0759,5,25.24,7,default,1,26.484,1.0493,26.484,1.0493,1.0254,1.0254,19
3031,128,4608,13,nt_a,26.856,1.0497,5,25.584,7,default,1,25.64,1.0022,25.64,1.0022,1.0474,1.0474,19
3079,128,4608,13,nt_a,27.328,1.0839,5,25.212,7,default,1,26.676,1.0581,26.676,1.0581,1.0244,1.0244,19
3098,128,4608,13,nt_a,27.16,1.0906,5,24.904,7,default,1,26.608,1.0684,26.608,1.0684,1.0207,1.0207,19
3144,128,4608,13,nt_a,27.088,1.0835,5,25.0,7,default,1,26.172,1.0469,26.172,1.0469,1.035,1.035,19
3764,128,4608,12,nt_a,30.94,1.2131,5,25.504,7,default,1,26.828,1.0519,26.828,1.0519,1.1533,1.1533,19
3894,128,4608,12,nt_a,31.116,1.2264,5,25.372,7,default,1,26.836,1.0577,26.836,1.0577,1.1595,1.1595,19
3933,128,4608,12,nt_a,30.832,1.2033,5,25.624,7,default,1,26.768,1.0447,26.768,1.0447,1.1518,1.1518,19
4134,128,4608,17,nt_a,102.949,3.6234,3,28.412,7,default,1,38.341,1.3494,38.341,1.3494,2.6851,2.6851,19
4272,128,4608,12,nt_a,31.112,1.0986,3,28.32,7,default,1,38.285,1.3518,38.285,1.3518,0.8127,0.8127,19
4469,128,4608,12,nt_a,31.405,1.0933,3,28.724,7,default,1,38.913,1.3547,38.913,1.3547,0.8071,0.8071,19
5343,128,4608,12,nt_a,31.408,1.0798,3,29.088,7,default,1,39.029,1.3417,39.029,1.3417,0.8047,0.8047,19
5996,128,4608,12,nt_a,31.36,1.0832,3,28.952,7,default,1,38.901,1.3436,38.901,1.3436,0.8062,0.8062,19
6679,128,4608,12,nt_a,31.624,1.0824,3,29.216,7,default,1,38.948,1.3331,38.948,1.3331,0.812,0.812,19
6950,128,4608,12,nt_a,31.36,1.0505,3,29.852,7,default,1,39.129,1.3107,39.129,1.3107,0.8015,0.8015,19
7090,128,4608,12,nt_a,31.632,1.0749,3,29.428,7,default,1,39.525,1.3431,39.525,1.3431,0.8003,0.8003,19
7903,128,4608,12,nt_a,32.08,1.0759,3,29.816,7,default,1,39.581,1.3275,39.581,1.3275,0.8105,0.8105,19
8212,128,4608,17,nt_a,109.322,3.4048,2,32.108,7,default,1,50.933,1.5863,50.933,1.5863,2.1464,2.1464,19
8563,128,4608,17,nt_a,110.054,3.395,2,32.417,7,default,1,51.209,1.5797,51.209,1.5797,2.1491,2.1491,19
9016,128,4608,17,nt_a,109.561,3.3898,2,32.321,7,default,1,50.557,1.5642,50.557,1.5642,2.1671,2.1671,19
9058,128,4608,17,nt_a,109.429,3.3716,2,32.456,7,default,1,51.009,1.5716,51.009,1.5716,2.1453,2.1453,19
9194,128,4608,17,nt_a,109.498,3.3733,2,32.46,7,default,1,51.309,1.5807,51.309,1.5807,2.1341,2.1341,19
9740,128,4608,17,nt_a,110.13,3.4096,2,32.3,7,default,1,50.821,1.5734,50.821,1.5734,2.167,2.167,19
9984,128,4608,17,nt_a,73.401,2.3187,2,31.656,7,default,1,51.249,1.6189,51.249,1.6189,1.4323,1.4323,19
10159,128,4608,17,nt_a,110.217,3.3472,2,32.928,7,default,1,51.221,1.5555,51.221,1.5555,2.1518,2.1518,19
10274,128,4608,17,nt_a,109.878,3.3954,2,32.36,7,default,1,50.849,1.5713,50.849,1.5713,2.1609,2.1609,19
10485,128,4608,17,nt_a,110.122,3.3767,2,32.612,7,default,1,51.209,1.5702,51.209,1.5702,2.1504,2.1504,19
10517,128,4608,17,nt_a,110.17,3.3748,2,32.644,7,default,1,51.273,1.5706,51.273,1.5706,2.1487,2.1487,19
10627,128,4608,17,nt_a,109.73,3.3303,2,32.948,7,default,1,51.157,1.5526,51.157,1.5526,2.145,2.145,19
10745,128,4608,17,nt_a,110.31,3.3618,2,32.812,7,default,1,51.037,1.5554,51.037,1.5554,2.1614,2.1614,19
10796,128,4608,17,nt_a,110.17,3.2925,2,33.46,7,default,1,51.533,1.5401,51.533,1.5401,2.1379,2.1379,19
10801,128,4608,17,nt_a,109.993,3.3493,2,32.841,7,default,1,51.413,1.5655,51.413,1.5655,2.1394,2.1394,19
11296,128,4608,17,nt_a,110.126,3.3603,2,32.772,7,default,1,50.465,1.5399,50.465,1.5399,2.1822,2.1822,19
11581,128,4608,17,nt_a,110.53,3.338,2,33.113,7,default,1,51.033,1.5412,51.033,1.5412,2.1659,2.1659,19
11745,128,4608,17,nt_a,110.477,3.3093,2,33.384,7,default,1,51.897,1.5545,51.897,1.5545,2.1288,2.1288,19
12018,128,4608,17,nt_a,111.022,3.3403,2,33.237,7,default,1,51.857,1.5602,51.857,1.5602,2.1409,2.1409,19
12047,128,4608,17,nt_a,110.198,3.3116,2,33.276,7,default,1,51.825,1.5574,51.825,1.5574,2.1264,2.1264,19
12123,128,4608,17,nt_a,110.958,3.3469,2,33.152,7,default,1,51.621,1.5571,51.621,1.5571,2.1495,2.1495,19
12601,128,4608,17,nt_a,109.909,3.3041,2,33.264,7,default,1,63.437,1.9071,63.437,1.9071,1.7326,1.7326,19
12806,128,4608,17,nt_a,110.501,3.2902,2,33.585,7,default,1,63.421,1.8884,63.421,1.8884,1.7424,1.7424,19
15186,128,4608,17,nt_a,111.698,3.2852,2,34.001,7,default,1,63.689,1.8732,63.689,1.8732,1.7538,1.7538,19
15305,128,4608,17,nt_a,111.326,3.2596,2,34.153,7,default,1,63.737,1.8662,63.737,1.8662,1.7466,1.7466,19
16142,128,4608,17,nt_a,111.902,3.2681,2,34.24,7,default,1,63.621,1.8581,63.621,1.8581,1.7589,1.7589,19
16258,128,4608,17,nt_a,111.694,3.2405,2,34.468,7,default,1,63.709,1.8483,63.709,1.8483,1.7532,1.7532,19
16304,128,4608,17,nt_a,112.25,3.2744,2,34.281,7,default,1,62.985,1.8373,62.985,1.8373,1.7822,1.7822,19
16874,128,4608,0,nt_a,41.921,1.0,0,41.921,7,default,1,75.553,1.8023,75.553,1.8023,0.5548,0.5548,19
17743,128,4608,0,nt_a,42.385,1.0,0,42.385,7,default,1,76.117,1.7959,76.117,1.7959,0.5568,0.5568,19
18086,128,4608,0,nt_a,42.997,1.0,0,42.997,7,default,1,76.069,1.7692,76.069,1.7692,0.5652,0.5652,19
18188,128,4608,0,nt_a,42.645,1.0,0,42.645,7,default,1,75.781,1.777,75.781,1.777,0.5627,0.5627,19
18571,128,4608,0,nt_a,42.633,1.0,0,42.633,7,default,1,75.793,1.7778,75.793,1.7778,0.5625,0.5625,19
18858,128,4608,0,nt_a,41.801,1.0,0,41.801,7,default,1,75.465,1.8054,75.465,1.8054,0.5539,0.5539,19
18930,128,4608,0,nt_a,43.413,1.0,0,43.413,7,default,1,75.821,1.7465,75.821,1.7465,0.5726,0.5726,19
19194,128,4608,0,nt_a,42.341,1.0,0,42.341,7,default,1,75.565,1.7847,75.565,1.7847,0.5603,0.5603,19
19908,128,4608,0,nt_a,42.773,1.0,0,42.773,7,default,1,75.789,1.7719,75.789,1.7719,0.5644,0.5644,19
20636,128,4608,0,nt_a,43.857,1.0,0,43.857,7,default,1,87.701,1.9997,87.701,1.9997,0.5001,0.5001,19
21233,128,4608,0,nt_a,43.833,1.0,0,43.833,7,default,1,87.901,2.0054,87.901,2.0054,0.4987,0.4987,19
21491,128,4608,0,nt_a,43.589,1.0,0,43.589,7,default,1,88.041,2.0198,88.041,2.0198,0.4951,0.4951,19
23207,128,4608,0,nt_a,44.037,1.0,0,44.037,7,default,1,88.701,2.0143,88.701,2.0143,0.4965,0.4965,19
23220,128,4608,0,nt_a,43.257,1.0,0,43.257,7,default,1,88.153,2.0379,88.153,2.0379,0.4907,0.4907,19
23688,128,4608,0,nt_a,44.253,1.0,0,44.253,7,default,1,87.697,1.9817,87.697,1.9817,0.5046,0.5046,19
24561,128,4608,0,nt_a,45.137,1.0,0,45.137,7,default,1,89.573,1.9845,89.573,1.9845,0.5039,0.5039,19
24592,128,4608,0,nt_a,44.589,1.0,0,44.589,7,default,1,98.061,2.1992,98.061,2.1992,0.4547,0.4547,19
25481,128,4608,0,nt_a,46.025,1.0,0,46.025,7,default,1,99.69,2.166,99.69,2.166,0.4617,0.4617,19
26687,128,4608,0,nt_a,45.437,1.0,0,45.437,7,default,1,100.089,2.2028,100.089,2.2028,0.454,0.454,19
27417,128,4608,0,nt_a,45.441,1.0,0,45.441,7,default,1,100.589,2.2136,100.589,2.2136,0.4517,0.4517,19
27849,128,4608,0,nt_a,45.673,1.0,0,45.673,7,default,1,99.889,2.1871,99.889,2.1871,0.4572,0.4572,19
28866,128,4608,0,nt_a,46.313,1.0,0,46.313,7,default,1,111.858,2.4153,111.858,2.4153,0.414,0.414,19
29596,128,4608,0,nt_a,46.144,1.0,0,46.144,7,default,1,111.713,2.421,111.713,2.421,0.4131,0.4131,19
30091,128,4608,0,nt_a,46.261,1.0,0,46.261,7,default,1,112.662,2.4354,112.662,2.4354,0.4106,0.4106,19
31156,128,4608,0,nt_a,46.808,1.0,0,46.808,7,default,1,113.078,2.4157,113.078,2.4157,0.414,0.414,19
31253,128,4608,0,nt_a,46.82,1.0,0,46.82,7,default,1,112.698,2.407,112.698,2.407,0.4155,0.4155,19
31749,128,4608,0,nt_a,46.425,1.0,0,46.425,7,default,1,112.418,2.4215,112.418,2.4215,0.413,0.413,19
33024,128,4608,17,nt_a,149.61,2.4529,2,60.993,7,default,1,123.778,2.0294,123.778,2.0294,1.2087,1.2087,19
137,2048,8192,12,base,46.725,1.2117,7,38.56,7,default,1,38.56,1.0,38.56,1.0,1.2117,1.2117,19
161,2048,8192,2,base,45.981,1.184,7,38.837,7,default,1,38.837,1.0,38.837,1.0,1.184,1.184,19
190,2048,8192,18,base,43.985,1.1452,5,38.408,7,default,1,38.669,1.0068,38.669,1.0068,1.1375,1.1375,19
360,2048,8192,0,base,63.825,1.4965,3,42.649,7,default,1,60.189,1.4113,60.189,1.4113,1.0604,1.0604,19
1230,2048,8192,0,base,67.481,1.0,0,67.481,7,default,1,126.753,1.8783,126.753,1.8783,0.5324,0.5324,19
1437,2048,8192,0,base,67.417,1.0,0,67.417,7,default,1,147.514,2.1881,147.514,2.1881,0.457,0.457,19
1520,2048,8192,0,base,67.509,1.0,0,67.509,7,default,1,147.822,2.1897,147.822,2.1897,0.4567,0.4567,19
1699,2048,8192,0,base,68.165,1.0,0,68.165,7,default,1,170.142,2.496,170.142,2.496,0.4006,0.4006,19
1867,2048,8192,0,base,68.665,1.0,0,68.665,7,default,1,192.538,2.804,192.538,2.804,0.3566,0.3566,19
1918,2048,8192,0,base,69.681,1.0,0,69.681,7,default,1,193.535,2.7774,193.535,2.7774,0.36,0.36,19
1971,2048,8192,0,base,69.645,1.0,0,69.645,7,default,1,192.375,2.7622,192.375,2.7622,0.362,0.362,19
2020,2048,8192,0,base,69.549,1.0,0,69.549,7,default,1,195.798,2.8153,195.798,2.8153,0.3552,0.3552,19
2626,2048,8192,0,base,102.718,1.0803,2,95.081,7,default,1,258.628,2.7201,258.628,2.7201,0.3972,0.3972,19
3382,2048,8192,0,base,104.389,1.0,0,104.389,7,default,1,327.945,3.1416,327.945,3.1416,0.3183,0.3183,19
3401,2048,8192,0,base,104.158,1.0,0,104.158,7,default,1,334.953,3.2158,334.953,3.2158,0.311,0.311,19
3576,2048,8192,0,base,104.154,1.0,0,104.154,7,default,1,331.721,3.1849,331.721,3.1849,0.314,0.314,19
3585,2048,8192,0,base,104.637,1.0,0,104.637,7,default,1,346.649,3.3129,346.649,3.3129,0.3019,0.3019,19
4230,2048,8192,0,base,147.91,1.0,0,147.91,7,default,1,392.454,2.6533,392.454,2.6533,0.3769,0.3769,19
4288,2048,8192,0,base,148.986,1.0,0,148.986,7,default,1,394.522,2.648,394.522,2.648,0.3776,0.3776,19
4644,2048,8192,0,base,149.19,1.0,0,149.19,7,default,1,435.526,2.9193,435.526,2.9193,0.3426,0.3426,19
4830,2048,8192,0,base,148.334,1.0,0,148.334,7,default,1,440.63,2.9705,440.63,2.9705,0.3366,0.3366,19
5142,2048,8192,0,base,154.774,1.0,0,154.774,7,default,1,480.503,3.1045,480.503,3.1045,0.3221,0.3221,19
5208,2048,8192,0,base,150.006,1.0,0,150.006,7,default,1,479.383,3.1958,479.383,3.1958,0.3129,0.3129,19
5628,2048,8192,0,base,153.322,1.0,0,153.322,7,default,1,502.927,3.2802,502.927,3.2802,0.3049,0.3049,19
5776,2048,8192,0,base,162.01,1.0,0,162.01,7,default,1,524.052,3.2347,524.052,3.2347,0.3091,0.3091,19
5873,2048,8192,0,base,156.626,1.0,0,156.626,7,default,1,524.619,3.3495,524.619,3.3495,0.2986,0.2986,19
6382,2048,8192,0,base,192.647,1.0,0,192.647,7,default,1,569.168,2.9545,569.168,2.9545,0.3385,0.3385,19
6451,2048,8192,0,base,195.895,1.0,0,195.895,7,default,1,590.224,3.013,590.224,3.013,0.3319,0.3319,19
7153,2048,8192,0,base,211.639,1.0,0,211.639,7,default,1,635.945,3.0049,635.945,3.0049,0.3328,0.3328,19
7740,2048,8192,0,base,207.383,1.0,0,207.383,7,default,1,701.886,3.3845,701.886,3.3845,0.2955,0.2955,19
8547,2048,8192,0,base,242.54,1.0,0,242.54,7,default,1,768.979,3.1705,768.979,3.1705,0.3154,0.3154,19
8985,2048,8192,0,base,249.972,1.0,0,249.972,7,default,1,812.572,3.2507,812.572,3.2507,0.3076,0.3076,19
9130,2048,8192,0,base,250.492,1.0,0,250.492,7,default,1,812.908,3.2452,812.908,3.2452,0.3081,0.3081,19
9291,2048,8192,0,base,251.247,1.0,0,251.247,7,default,1,834.804,3.3226,834.804,3.3226,0.301,0.301,19
9544,2048,8192,0,base,272.896,1.0,0,272.896,7,default,1,856.808,3.1397,856.808,3.1397,0.3185,0.3185,19
9624,2048,8192,0,base,258.435,1.0,0,258.435,7,default,1,856.072,3.3125,856.072,3.3125,0.3019,0.3019,19
9626,2048,8192,0,base,268.592,1.0,0,268.592,7,default,1,857.056,3.1909,857.056,3.1909,0.3134,0.3134,19
9771,2048,8192,0,base,277.4,1.0,0,277.4,7,default,1,878.877,3.1683,878.877,3.1683,0.3156,0.3156,19
9989,2048,8192,0,base,264.532,1.0,0,264.532,7,default,1,901.177,3.4067,901.177,3.4067,0.2935,0.2935,19
10364,2048,8192,0,base,306.0,1.0,0,306.0,7,default,1,923.061,3.0165,923.061,3.0165,0.3315,0.3315,19
10447,2048,8192,0,base,309.196,1.0,0,309.196,7,default,1,925.277,2.9925,925.277,2.9925,0.3342,0.3342,19
10567,2048,8192,0,base,306.793,1.0,0,306.793,7,default,1,946.642,3.0856,946.642,3.0856,0.3241,0.3241,19
10596,2048,8192,0,base,308.36,1.0,0,308.36,7,default,1,946.513,3.0695,946.513,3.0695,0.3258,0.3258,19
10736,2048,8192,0,base,295.24,1.0,0,295.24,7,default,1,946.158,3.2047,946.158,3.2047,0.312,0.312,19
10817,2048,8192,0,base,313.14,1.0,0,313.14,7,default,1,967.206,3.0887,967.206,3.0887,0.3238,0.3238,19
11121,2048,8192,0,base,318.264,1.0,0,318.264,7,default,1,990.002,3.1106,990.002,3.1106,0.3215,0.3215,19
11590,2048,8192,0,base,327.117,1.0,0,327.117,7,default,1,1034.683,3.163,1034.683,3.163,0.3162,0.3162,19
12333,2048,8192,0,base,354.261,1.0,0,354.261,7,default,1,1102.116,3.111,1102.116,3.111,0.3214,0.3214,19
12349,2048,8192,0,base,349.337,1.0,0,349.337,7,default,1,1102.524,3.156,1102.524,3.156,0.3169,0.3169,19
12959,2048,8192,0,base,364.437,1.0,0,364.437,7,default,1,1147.289,3.1481,1147.289,3.1481,0.3177,0.3177,19
13164,2048,8192,0,base,378.209,1.0,0,378.209,7,default,1,1167.289,3.0864,1167.289,3.0864,0.324,0.324,19
13518,2048,8192,0,base,366.761,1.0,0,366.761,7,default,1,1192.881,3.2525,1192.881,3.2525,0.3075,0.3075,19
14314,2048,8192,0,base,376.493,1.0,0,376.493,7,default,1,1258.358,3.3423,1258.358,3.3423,0.2992,0.2992,19
14746,2048,8192,0,base,413.518,1.0,0,413.518,7,default,1,1300.343,3.1446,1300.343,3.1446,0.318,0.318,19
15161,2048,8192,0,base,426.314,1.0,0,426.314,7,default,1,1345.603,3.1564,1345.603,3.1564,0.3168,0.3168,19
15579,2048,8192,0,base,426.154,1.0,0,426.154,7,default,1,1371.092,3.2174,1371.092,3.2174,0.3108,0.3108,19
15928,2048,8192,0,base,435.334,1.0,0,435.334,7,default,1,1419.328,3.2603,1419.328,3.2603,0.3067,0.3067,19
16485,2048,8192,0,base,477.899,1.0,0,477.899,7,default,1,1466.737,3.0691,1466.737,3.0691,0.3258,0.3258,19
16615,2048,8192,0,base,462.811,1.0,0,462.811,7,default,1,1463.365,3.1619,1463.365,3.1619,0.3163,0.3163,19
16643,2048,8192,0,base,468.047,1.0,0,468.047,7,default,1,1486.721,3.1764,1486.721,3.1764,0.3148,0.3148,19
