M,N,K,o_kid,hint_mode,o_us,o_rank,o_slow,oracle_kid,oracle_us,csv_kid,csv_us,csv_slow,default_us,default_slow,n_ok
256,2048,3072,13,base,20.76,1,1.0,13,20.76,7,21.212,1.0218,21.212,1.0218,19
256,3072,3072,18,base,21.616,1,1.0,18,21.616,18,21.616,1.0,29.968,1.3864,19
256,3072,6144,18,base,32.32,1,1.0,18,32.32,18,32.32,1.0,47.545,1.471,19
256,4096,3072,18,base,21.316,1,1.0,18,21.316,18,21.316,1.0,30.72,1.4412,19
256,8192,3072,17,base,52.689,16,1.9757,2,26.668,18,30.772,1.1539,46.408,1.7402,19
272,2048,3072,18,base,23.636,2,1.0444,3,22.632,18,23.636,1.0444,29.501,1.3035,19
272,3072,3072,18,base,24.272,2,1.0222,3,23.744,18,24.272,1.0222,29.773,1.2539,19
272,3072,6144,18,base,37.436,2,1.057,3,35.416,18,37.436,1.057,47.757,1.3484,19
272,4096,3072,17,base,75.261,19,2.8765,2,26.164,18,32.5,1.2422,38.484,1.4709,19
272,8192,3072,0,base,35.448,2,1.0214,3,34.704,18,44.488,1.2819,55.021,1.5854,19
288,3072,3072,18,base,24.064,3,1.0237,3,23.508,18,24.064,1.0237,29.597,1.259,19
288,4096,3072,17,base,75.725,19,2.885,2,26.248,18,32.136,1.2243,37.468,1.4275,19
288,8192,3072,0,base,36.78,3,1.0585,3,34.748,18,43.748,1.259,54.553,1.5699,19
304,2048,3072,18,base,23.836,2,1.0449,3,22.812,18,23.836,1.0449,29.364,1.2872,19
304,3072,3072,18,base,24.344,2,1.0152,3,23.98,18,24.344,1.0152,30.128,1.2564,19
304,4096,3072,17,base,75.861,19,2.8963,2,26.192,18,32.148,1.2274,37.588,1.4351,19
304,8192,3072,0,base,34.852,2,1.0075,3,34.592,18,43.344,1.253,54.765,1.5831,19
320,3072,3072,18,base,22.232,1,1.0,18,22.232,18,22.232,1.0,29.712,1.3364,19
320,8192,3072,0,base,35.584,2,1.0038,3,35.448,18,39.072,1.1022,55.197,1.5571,19
336,3072,6144,17,base,138.066,19,3.5372,2,39.032,18,52.881,1.3548,47.729,1.2228,19
336,4096,3072,17,base,75.389,19,2.8354,2,26.589,18,32.336,1.2162,37.464,1.409,19
336,8192,3072,0,base,35.868,3,1.0153,3,35.328,18,43.924,1.2433,63.257,1.7905,19
352,3072,6144,17,base,138.338,19,3.5283,2,39.209,18,53.032,1.3526,63.281,1.614,19
352,4096,3072,17,base,75.449,19,2.8245,2,26.712,18,32.348,1.211,38.14,1.4278,19
352,8192,3072,0,base,36.224,3,1.0214,3,35.464,18,44.316,1.2496,62.733,1.7689,19
368,2048,3072,18,base,23.252,2,1.0138,3,22.936,18,23.252,1.0138,29.44,1.2836,19
368,3072,3072,17,base,75.573,19,2.9156,2,25.92,18,31.645,1.2208,37.809,1.4587,19
368,8192,3072,0,base,35.764,2,1.0189,3,35.1,18,43.772,1.2471,63.405,1.8064,19
384,2048,3072,18,base,22.312,2,1.0225,3,21.82,18,22.312,1.0225,29.26,1.341,19
384,3072,3072,17,base,51.613,19,2.0014,2,25.788,18,30.364,1.1774,37.596,1.4579,19
384,3072,6144,17,base,90.637,18,2.3869,2,37.972,18,49.573,1.3055,64.161,1.6897,19
384,4096,3072,17,base,52.157,19,2.0042,2,26.024,18,30.46,1.1705,38.064,1.4626,19
384,8192,3072,0,base,34.585,1,1.0,0,34.585,18,39.813,1.1512,62.453,1.8058,19
400,2048,3072,18,base,23.82,2,1.0409,3,22.884,18,23.82,1.0409,29.625,1.2945,19
400,3072,3072,17,base,75.069,19,2.85,2,26.34,18,32.38,1.2293,37.732,1.4325,19
400,3072,6144,17,base,137.766,19,3.5408,2,38.908,18,53.365,1.3715,63.217,1.6248,19
400,8192,3072,0,base,36.848,2,1.017,2,36.232,0,36.848,1.017,70.977,1.9589,19
416,3072,6144,17,base,137.589,19,3.5221,2,39.065,18,53.001,1.3567,63.781,1.6327,19
416,4096,3072,17,base,75.445,19,2.8201,2,26.752,18,32.608,1.2189,45.857,1.7141,19
416,8192,3072,0,base,37.204,2,1.0272,2,36.221,0,37.204,1.0272,71.097,1.9629,19
432,3072,3072,17,base,75.261,19,2.9009,2,25.944,18,32.332,1.2462,37.032,1.4274,19
432,3072,6144,17,base,138.478,19,3.5554,2,38.948,18,53.045,1.3619,63.525,1.631,19
432,8192,3072,0,base,37.505,2,1.0069,2,37.248,0,37.505,1.0069,71.449,1.9182,19
448,2048,3072,18,base,21.724,1,1.0,18,21.724,18,21.724,1.0,29.656,1.3651,19
448,3072,6144,17,base,90.053,18,2.3238,2,38.752,18,49.296,1.2721,64.141,1.6551,19
448,4096,3072,17,base,52.561,17,1.9997,2,26.284,18,31.377,1.1937,46.193,1.7574,19
448,8192,3072,0,base,37.193,2,1.0414,2,35.712,0,37.193,1.0414,71.089,1.9906,19
464,3072,3072,17,base,73.973,19,2.9077,2,25.44,18,32.417,1.2742,37.484,1.4734,19
464,3072,6144,17,base,137.674,19,3.4755,2,39.612,18,53.525,1.3512,63.601,1.6056,19
464,4096,3072,17,base,75.365,19,2.7967,2,26.948,18,32.412,1.2028,46.4,1.7218,19
464,8192,3072,0,base,36.536,2,1.0066,2,36.296,0,36.536,1.0066,78.377,2.1594,19
480,2048,3072,18,base,24.144,3,1.0368,3,23.288,18,24.144,1.0368,29.588,1.2705,19
480,4096,3072,17,base,76.401,19,2.779,2,27.492,18,32.792,1.1928,46.617,1.6956,19
480,8192,3072,0,base,36.672,1,1.0,0,36.672,0,36.672,1.0,78.241,2.1335,19
496,2048,3072,18,base,23.924,2,1.0191,3,23.476,18,23.924,1.0191,29.48,1.2558,19
496,3072,3072,17,base,74.129,19,2.7994,2,26.48,18,32.472,1.2263,37.977,1.4341,19
496,4096,3072,17,base,75.757,19,2.7436,2,27.612,18,32.964,1.1938,46.081,1.6688,19
496,8192,3072,0,base,36.832,2,1.0075,2,36.556,0,36.832,1.0075,79.041,2.1622,19
512,2048,3072,18,base,21.892,2,1.0016,3,21.856,18,21.892,1.0016,29.657,1.3569,19
512,4096,3072,17,base,52.677,16,1.9443,2,27.093,18,30.864,1.1392,46.416,1.7133,19
512,8192,3072,0,base,34.533,1,1.0,0,34.533,0,34.533,1.0,78.149,2.2631,19
515,2048,3072,17,base,75.117,19,2.9224,2,25.704,18,31.488,1.225,37.212,1.4477,19
562,2048,3072,17,base,74.765,19,2.8742,2,26.012,18,32.016,1.2308,37.7,1.4493,19
592,2048,3072,17,base,74.617,19,2.8827,2,25.884,18,32.584,1.2588,37.512,1.4492,19
640,2048,3072,17,base,51.285,19,1.9719,2,26.008,18,30.349,1.1669,38.244,1.4705,19
640,3072,3072,17,base,52.433,16,1.9587,2,26.769,18,31.32,1.1701,46.508,1.7374,19
640,3072,6144,17,base,91.073,16,2.3035,2,39.536,18,49.357,1.2484,80.577,2.038,19
640,8192,3072,17,base,103.185,16,2.2504,2,45.853,18,57.605,1.2563,95.053,2.073,19
659,2048,3072,17,base,79.137,19,3.0246,2,26.164,18,32.46,1.2406,37.812,1.4452,19
768,2048,3072,17,base,51.393,19,1.991,2,25.812,18,30.329,1.175,37.772,1.4633,19
768,3072,3072,0,base,32.912,1,1.0,0,32.912,18,39.224,1.1918,54.385,1.6524,19
768,3072,6144,0,base,49.537,1,1.0,0,49.537,18,65.797,1.3283,96.693,1.952,19
768,8192,3072,17,base,102.625,13,2.2133,2,46.369,0,49.336,1.064,112.213,2.42,19
822,3072,3072,0,base,34.444,1,1.0,0,34.444,18,43.676,1.268,54.109,1.5709,19
822,4096,3072,0,base,36.468,2,1.0251,2,35.576,0,36.468,1.0251,70.693,1.9871,19
896,2048,3072,17,base,52.681,17,2.0246,2,26.02,18,31.124,1.1962,45.892,1.7637,19
896,3072,6144,0,base,50.257,1,1.0,0,50.257,18,66.265,1.3185,113.03,2.249,19
896,8192,3072,0,base,50.253,1,1.0,0,50.253,0,50.253,1.0,128.646,2.56,19
990,2048,3072,17,base,76.513,19,2.8113,2,27.216,18,32.965,1.2112,45.901,1.6865,19
1000,2048,3072,17,base,75.813,19,2.7552,2,27.516,18,32.528,1.1822,46.317,1.6833,19
1000,3072,3072,0,base,35.785,2,1.004,3,35.64,18,44.176,1.2395,63.709,1.7875,19
1000,4096,3072,0,base,37.512,2,1.0219,2,36.708,0,37.512,1.0219,78.713,2.1443,19
1001,3072,3072,0,base,35.137,2,1.0027,3,35.041,18,43.705,1.2473,62.225,1.7758,19
1001,3072,6144,0,base,53.981,1,1.0,0,53.981,18,75.489,1.3984,114.326,2.1179,19
1001,8192,3072,0,base,53.221,1,1.0,0,53.221,0,53.221,1.0,145.17,2.7277,19
1002,2048,3072,17,base,76.109,19,2.787,2,27.308,18,32.788,1.2007,46.397,1.699,19
1002,3072,3072,0,base,35.528,2,1.0068,3,35.289,18,43.785,1.2408,62.501,1.7711,19
1002,4096,3072,0,base,36.248,1,1.0,0,36.248,0,36.248,1.0,78.237,2.1584,19
1002,8192,3072,0,base,52.644,1,1.0,0,52.644,0,52.644,1.0,145.554,2.7648,19
1003,2048,3072,17,base,76.629,19,2.8085,2,27.284,18,33.288,1.2201,46.74,1.7131,19
1003,3072,6144,0,base,54.041,1,1.0,0,54.041,18,74.349,1.3758,114.49,2.1186,19
1003,4096,3072,0,base,36.956,2,1.0034,2,36.832,0,36.956,1.0034,78.733,2.1376,19
1004,3072,3072,0,base,34.74,2,1.0023,3,34.66,18,43.121,1.2441,62.249,1.796,19
1004,3072,6144,0,base,53.621,1,1.0,0,53.621,18,74.413,1.3878,114.553,2.1364,19
1004,4096,3072,0,base,36.312,1,1.0,0,36.312,0,36.312,1.0,78.353,2.1577,19
1004,8192,3072,0,base,52.177,1,1.0,0,52.177,0,52.177,1.0,144.178,2.7633,19
1007,2048,3072,17,base,76.177,19,2.7948,2,27.256,18,32.5,1.1924,46.165,1.6937,19
1013,2048,3072,17,base,76.117,19,2.8351,2,26.848,18,33.256,1.2387,46.409,1.7285,19
1021,2048,3072,17,base,76.153,19,2.8483,2,26.736,18,32.732,1.2243,46.645,1.7446,19
1021,3072,3072,0,base,35.072,2,1.004,3,34.932,18,44.484,1.2734,62.461,1.788,19
1021,4096,3072,0,base,37.112,2,1.0176,2,36.469,0,37.112,1.0176,78.521,2.1531,19
1023,3072,3072,0,base,35.14,2,1.0063,3,34.92,18,44.297,1.2685,62.809,1.7986,19
1024,2048,3072,17,base,52.361,16,1.996,2,26.232,18,30.824,1.175,46.089,1.7569,19
1024,4096,3072,0,base,34.68,1,1.0,0,34.68,0,34.68,1.0,78.393,2.2604,19
1024,8192,3072,0,base,52.008,1,1.0,0,52.008,0,52.008,1.0,144.882,2.7857,19
1030,3072,3072,0,base,35.288,1,1.0,0,35.288,0,35.288,1.0,70.245,1.9906,19
1031,3072,6144,0,base,54.441,1,1.0,0,54.441,0,54.441,1.0,130.706,2.4009,19
1059,2048,3072,0,base,34.368,2,1.0146,3,33.872,18,43.757,1.2918,54.121,1.5978,19
1062,4096,3072,17,base,158.154,19,3.457,2,45.749,18,64.113,1.4014,86.677,1.8946,19
1090,3072,6144,0,base,55.089,1,1.0,0,55.089,0,55.089,1.0,130.674,2.3721,19
1108,8192,3072,0,base,70.549,2,1.0432,2,67.629,0,70.549,1.0432,160.406,2.3718,19
1113,3072,6144,0,base,55.517,1,1.0,0,55.517,0,55.517,1.0,130.837,2.3567,19
1113,8192,3072,0,base,70.972,2,1.0295,2,68.941,0,70.972,1.0295,161.266,2.3392,19
1123,3072,3072,0,base,36.196,2,1.0007,2,36.172,0,36.196,1.0007,70.909,1.9603,19
1124,2048,3072,0,base,34.316,2,1.0007,3,34.292,18,43.38,1.265,54.125,1.5783,19
1142,2048,3072,0,base,35.036,3,1.0378,3,33.76,18,43.4,1.2855,53.877,1.5959,19
1150,2048,3072,0,base,34.344,1,1.0,0,34.344,18,43.172,1.257,54.081,1.5747,19
1211,8192,3072,0,base,71.013,2,1.0196,2,69.645,0,71.013,1.0196,169.158,2.4289,19
1212,3072,6144,0,base,55.961,1,1.0,0,55.961,0,55.961,1.0,147.13,2.6292,19
1214,8192,3072,0,base,71.365,2,1.0274,2,69.465,0,71.365,1.0274,169.234,2.4362,19
1224,8192,3072,0,base,71.549,2,1.0283,2,69.581,0,71.549,1.0283,176.642,2.5387,19
1227,8192,3072,0,base,71.313,2,1.0269,2,69.445,0,71.313,1.0269,176.442,2.5407,19
1229,3072,6144,0,base,56.021,1,1.0,0,56.021,0,56.021,1.0,147.502,2.633,19
1230,3072,6144,0,base,55.377,1,1.0,0,55.377,0,55.377,1.0,147.734,2.6678,19
1240,8192,3072,0,base,71.437,2,1.0272,2,69.545,0,71.437,1.0272,179.202,2.5768,19
1253,2048,3072,0,base,34.32,2,1.0014,3,34.273,18,43.88,1.2803,54.229,1.5823,19
