M,N,K,kernelId,tile_MxNxK,xdl,wave,pipe,splitK,us,tflops,errRatio,status,name
256,2048,3072,2,64x128x128,32x32,1x2,intrawave_v3,0,24.315,132.5,0.0,ok,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
256,2048,3072,3,64x64x128,32x32,1x1,intrawave_v3,0,21.878,147.2,0.0,ok,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
256,2048,3072,4,16x256x128,16x16,1x4,intrawave_v1,0,24.71,130.4,0.0,ok,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1
256,2048,3072,5,16x128x128,16x16,1x2,intrawave_v1,0,21.915,147.0,0.0,ok,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1
256,2048,3072,6,16x64x128,16x16,1x1,intrawave_v1,0,23.235,138.6,0.0,ok,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1
256,2048,3072,7,16x128x256,16x16,1x2,intrawave_v1,0,21.304,151.2,0.0,ok,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1
256,2048,3072,8,16x64x256,16x16,1x1,intrawave_v1,2,24.886,129.4,0.00157,ok,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1
256,2048,3072,9,32x256x128,32x32,1x2,intrawave_v1,0,35.144,91.7,0.0,ok,a8w8_blockscale_1x128x128_256x32x256x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
256,2048,3072,10,32x128x128,32x32,1x1,intrawave_v1,0,30.174,106.8,0.0,ok,a8w8_blockscale_1x128x128_256x32x128x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
256,2048,3072,11,32x64x128,16x16,2x1,intrawave_v1,0,28.227,114.1,0.0,ok,a8w8_blockscale_1x128x128_256x32x64x128_16x16_16x16_2x1_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1
256,2048,3072,12,32x128x256,32x32,1x1,intrawave_v1,0,23.083,139.6,0.0,ok,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
256,2048,3072,13,32x64x256,16x16,2x1,intrawave_v1,0,22.022,146.3,0.0,ok,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1
256,2048,3072,14,64x256x128,32x32,2x2,intrawave_v1,1,41.507,77.6,0.00129,ok,a8w8_blockscale_1x128x128_256x64x256x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
256,2048,3072,15,64x128x128,32x32,2x1,intrawave_v1,0,34.798,92.6,0.0,ok,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_2x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
256,2048,3072,16,64x64x128,32x32,1x1,intrawave_v1,0,29.846,107.9,0.0,ok,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
256,2048,3072,17,64x128x256,32x32,2x1,intrawave_v1,0,46.915,68.7,0.0,ok,a8w8_blockscale_1x128x128_256x64x128x256_16x16_32x32_2x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
256,2048,3072,18,64x64x256,32x32,1x1,intrawave_v1,0,22.544,142.9,0.0,ok,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
2048,2048,3072,0,128x128x128,32x32,2x2,intrawave_v3,0,36.059,714.7,0.0,ok,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
2048,2048,3072,1,128x64x128,32x32,2x1,intrawave_v3,0,41.942,614.4,0.0,ok,a8w8_blockscale_1x128x128_256x128x64x128_16x16_32x32_2x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
2048,2048,3072,2,64x128x128,32x32,1x2,intrawave_v3,0,38.542,668.6,0.0,ok,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
2048,2048,3072,3,64x64x128,32x32,1x1,intrawave_v3,0,45.267,569.3,0.0,ok,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
2048,2048,3072,4,16x256x128,16x16,1x4,intrawave_v1,0,62.926,409.5,0.0,ok,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1
2048,2048,3072,5,16x128x128,16x16,1x2,intrawave_v1,0,71.934,358.2,0.0,ok,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1
2048,2048,3072,6,16x64x128,16x16,1x1,intrawave_v1,0,99.03,260.2,0.0,ok,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1
2048,2048,3072,7,16x128x256,16x16,1x2,intrawave_v1,0,80.881,318.6,0.0,ok,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1
2048,2048,3072,8,16x64x256,16x16,1x1,intrawave_v1,2,97.457,264.4,0.0016,ok,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1
2048,2048,3072,9,32x256x128,32x32,1x2,intrawave_v1,0,56.646,454.9,0.0,ok,a8w8_blockscale_1x128x128_256x32x256x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
2048,2048,3072,10,32x128x128,32x32,1x1,intrawave_v1,0,78.555,328.0,0.0,ok,a8w8_blockscale_1x128x128_256x32x128x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
2048,2048,3072,11,32x64x128,16x16,2x1,intrawave_v1,0,115.38,223.3,0.0,ok,a8w8_blockscale_1x128x128_256x32x64x128_16x16_16x16_2x1_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1
2048,2048,3072,12,32x128x256,32x32,1x1,intrawave_v1,0,58.281,442.2,0.0,ok,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
2048,2048,3072,13,32x64x256,16x16,2x1,intrawave_v1,0,76.193,338.2,0.0,ok,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1
2048,2048,3072,14,64x256x128,32x32,2x2,intrawave_v1,0,46.398,555.4,0.0,ok,a8w8_blockscale_1x128x128_256x64x256x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
2048,2048,3072,15,64x128x128,32x32,2x1,intrawave_v1,0,57.273,449.9,0.0,ok,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_2x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
2048,2048,3072,16,64x64x128,32x32,1x1,intrawave_v1,0,75.721,340.3,0.0,ok,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
2048,2048,3072,17,64x128x256,32x32,2x1,intrawave_v1,0,66.95,384.9,0.0,ok,a8w8_blockscale_1x128x128_256x64x128x256_16x16_32x32_2x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
2048,2048,3072,18,64x64x256,32x32,1x1,intrawave_v1,0,51.411,501.2,0.0,ok,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
8192,2048,3072,0,128x128x128,32x32,2x2,intrawave_v3,0,90.812,1135.1,0.0,ok,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
8192,2048,3072,1,128x64x128,32x32,2x1,intrawave_v3,0,123.249,836.3,0.0,ok,a8w8_blockscale_1x128x128_256x128x64x128_16x16_32x32_2x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
8192,2048,3072,2,64x128x128,32x32,1x2,intrawave_v3,0,106.782,965.3,0.0,ok,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
8192,2048,3072,3,64x64x128,32x32,1x1,intrawave_v3,0,136.591,754.7,0.0,ok,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
8192,2048,3072,4,16x256x128,16x16,1x4,intrawave_v1,0,212.317,485.5,0.0,ok,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1
8192,2048,3072,5,16x128x128,16x16,1x2,intrawave_v1,0,246.416,418.3,0.0,ok,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1
8192,2048,3072,6,16x64x128,16x16,1x1,intrawave_v1,1,342.796,300.7,0.00131,ok,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1
8192,2048,3072,7,16x128x256,16x16,1x2,intrawave_v1,0,278.483,370.1,0.0,ok,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1
8192,2048,3072,8,16x64x256,16x16,1x1,intrawave_v1,2,316.67,325.5,0.00161,ok,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1
8192,2048,3072,9,32x256x128,32x32,1x2,intrawave_v1,0,185.786,554.8,0.0,ok,a8w8_blockscale_1x128x128_256x32x256x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
8192,2048,3072,10,32x128x128,32x32,1x1,intrawave_v1,0,265.749,387.9,0.0,ok,a8w8_blockscale_1x128x128_256x32x128x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
8192,2048,3072,11,32x64x128,16x16,2x1,intrawave_v1,0,414.53,248.7,0.0,ok,a8w8_blockscale_1x128x128_256x32x64x128_16x16_16x16_2x1_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1
8192,2048,3072,12,32x128x256,32x32,1x1,intrawave_v1,0,188.453,547.0,0.0,ok,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
8192,2048,3072,13,32x64x256,16x16,2x1,intrawave_v1,0,265.776,387.8,0.0,ok,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1
8192,2048,3072,14,64x256x128,32x32,2x2,intrawave_v1,0,129.554,795.6,0.0,ok,a8w8_blockscale_1x128x128_256x64x256x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
8192,2048,3072,15,64x128x128,32x32,2x1,intrawave_v1,0,176.023,585.6,0.0,ok,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_2x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
8192,2048,3072,16,64x64x128,32x32,1x1,intrawave_v1,0,247.837,415.9,0.0,ok,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
8192,2048,3072,17,64x128x256,32x32,2x1,intrawave_v1,0,220.285,467.9,0.0,ok,a8w8_blockscale_1x128x128_256x64x128x256_16x16_32x32_2x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
8192,2048,3072,18,64x64x256,32x32,1x1,intrawave_v1,0,164.711,625.8,0.0,ok,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
64,3072,6144,0,128x128x128,32x32,2x2,intrawave_v3,2,28.782,83.9,0.00161,ok,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
64,3072,6144,1,128x64x128,32x32,2x1,intrawave_v3,2,27.083,89.2,0.00161,ok,a8w8_blockscale_1x128x128_256x128x64x128_16x16_32x32_2x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
64,3072,6144,2,64x128x128,32x32,1x2,intrawave_v3,2,26.027,92.8,0.0016,ok,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
64,3072,6144,3,64x64x128,32x32,1x1,intrawave_v3,2,24.747,97.6,0.00161,ok,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3
64,3072,6144,4,16x256x128,16x16,1x4,intrawave_v1,2,26.376,91.6,0.00161,ok,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1
64,3072,6144,5,16x128x128,16x16,1x2,intrawave_v1,2,25.48,94.8,0.00161,ok,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1
64,3072,6144,6,16x64x128,16x16,1x1,intrawave_v1,3,24.579,98.3,0.00208,ok,a8w8_blockscale_1x128x128_256x16x64x128_8x16_16x16_1x1_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1
64,3072,6144,7,16x128x256,16x16,1x2,intrawave_v1,1,27.024,89.4,0.00127,ok,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1
64,3072,6144,8,16x64x256,16x16,1x1,intrawave_v1,3,23.32,103.6,0.00208,ok,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1
64,3072,6144,9,32x256x128,32x32,1x2,intrawave_v1,2,36.867,65.5,0.00161,ok,a8w8_blockscale_1x128x128_256x32x256x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
64,3072,6144,10,32x128x128,32x32,1x1,intrawave_v1,2,35.286,68.5,0.0016,ok,a8w8_blockscale_1x128x128_256x32x128x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
64,3072,6144,11,32x64x128,16x16,2x1,intrawave_v1,3,30.915,78.1,0.00208,ok,a8w8_blockscale_1x128x128_256x32x64x128_16x16_16x16_2x1_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1
64,3072,6144,12,32x128x256,32x32,1x1,intrawave_v1,2,31.203,77.4,0.00161,ok,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
64,3072,6144,13,32x64x256,16x16,2x1,intrawave_v1,2,27.064,89.3,0.0016,ok,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1
64,3072,6144,14,64x256x128,32x32,2x2,intrawave_v1,2,38.947,62.0,0.0016,ok,a8w8_blockscale_1x128x128_256x64x256x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
64,3072,6144,15,64x128x128,32x32,2x1,intrawave_v1,2,35.987,67.1,0.00161,ok,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_2x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
64,3072,6144,16,64x64x128,32x32,1x1,intrawave_v1,2,28.838,83.8,0.00161,ok,a8w8_blockscale_1x128x128_256x64x64x128_16x16_32x32_1x1_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v1
64,3072,6144,17,64x128x256,32x32,2x1,intrawave_v1,3,44.592,54.2,0.00206,ok,a8w8_blockscale_1x128x128_256x64x128x256_16x16_32x32_2x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
64,3072,6144,18,64x64x256,32x32,1x1,intrawave_v1,2,24.816,97.4,0.0016,ok,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1
