M,N,K,o_kid,hint_mode,o_us,o_slow,oracle_kid,oracle_us,prod_kid,prod_lib,prod_is_default,prod_us,prod_slow,default_us,default_slow,o_vs_default,o_vs_prod,n_ok
256,51200,5120,14,base,194.506,1.2727,0,152.826,7,default,1,369.329,2.4167,369.329,2.4167,0.5266,0.5266,19
257,51200,5120,14,base,200.094,1.1439,0,174.918,7,default,1,411.365,2.3518,411.365,2.3518,0.4864,0.4864,19
656,51200,5120,14,base,440.977,1.1836,0,372.588,7,default,1,938.943,2.5201,938.943,2.5201,0.4697,0.4697,19
1019,51200,5120,0,base,503.598,1.0,0,503.598,7,default,1,1459.902,2.8989,1459.902,2.8989,0.345,0.345,19
1362,51200,5120,0,base,680.192,1.0,0,680.192,7,default,1,1967.207,2.8921,1967.207,2.8921,0.3458,0.3458,19
1704,51200,5120,0,base,850.682,1.0,0,850.682,7,default,1,2438.541,2.8666,2438.541,2.8666,0.3488,0.3488,19
2046,51200,5120,0,base,953.971,1.0,0,953.971,7,default,1,2895.65,3.0354,2895.65,3.0354,0.3294,0.3294,19
2387,51200,5120,0,base,1179.022,1.0,0,1179.022,7,default,1,3433.496,2.9122,3433.496,2.9122,0.3434,0.3434,19
2729,51200,5120,0,base,1298.683,1.0,0,1298.683,7,default,1,3875.754,2.9844,3875.754,2.9844,0.3351,0.3351,19
3071,51200,5120,0,base,1385.088,1.0,0,1385.088,7,default,1,4331.131,3.127,4331.131,3.127,0.3198,0.3198,19
3413,51200,5120,0,base,1598.331,1.0,0,1598.331,7,default,1,4863.801,3.0431,4863.801,3.0431,0.3286,0.3286,19
3754,51200,5120,0,base,1709.484,1.0,0,1709.484,7,default,1,5312.899,3.1079,5312.899,3.1079,0.3218,0.3218,19
4096,51200,5120,0,base,1686.54,1.0,0,1686.54,7,default,1,5726.012,3.3951,5726.012,3.3951,0.2945,0.2945,19
4097,51200,5120,0,base,1849.082,1.0,0,1849.082,7,default,1,5840.541,3.1586,5840.541,3.1586,0.3166,0.3166,19
6668,51200,5120,0,base,3060.352,1.0,0,3060.352,7,default,1,9407.755,3.0741,9407.755,3.0741,0.3253,0.3253,19
9250,51200,5120,0,base,4372.684,1.0,0,4372.684,7,default,1,13013.738,2.9761,13013.738,2.9761,0.336,0.336,19
11819,51200,5120,0,base,5396.668,1.0,0,5396.668,7,default,1,16587.781,3.0737,16587.781,3.0737,0.3253,0.3253,19
14408,51200,5120,0,base,6482.265,1.0,0,6482.265,7,default,1,20226.992,3.1204,20226.992,3.1204,0.3205,0.3205,19
17029,51200,5120,0,base,8039.471,1.0,0,8039.471,7,default,1,23826.295,2.9637,23826.295,2.9637,0.3374,0.3374,19
19614,51200,5120,0,base,9304.547,1.0,0,9304.547,7,default,1,27391.706,2.9439,27391.706,2.9439,0.3397,0.3397,19
22222,51200,5120,0,base,10366.915,1.0,0,10366.915,7,default,1,31114.328,3.0013,31114.328,3.0013,0.3332,0.3332,19
24890,51200,5120,0,base,11363.171,1.0,0,11363.171,7,default,1,34786.368,3.0613,34786.368,3.0613,0.3267,0.3267,19
27553,51200,5120,0,base,12577.226,1.0,0,12577.226,7,default,1,38573.883,3.067,38573.883,3.067,0.3261,0.3261,19
30200,51200,5120,0,base,14071.528,1.0,0,14071.528,7,default,1,42066.692,2.9895,42066.692,2.9895,0.3345,0.3345,19
33024,51200,5120,0,base,14560.142,1.0,0,14560.142,7,default,1,45705.348,3.1391,45705.348,3.1391,0.3186,0.3186,19
