family,M,N,K,q_dtype_w,prod_default_us,prod_default_tflops,origami_kernelId,origami_us,origami_tflops,origami_correct,origami_err_ratio,origami_pred_cycles,winner,origami_speedup_vs_prod,sweep_best_us,origami_frac_of_oracle
a8w8_blockscale_bpreshuffle,96,5120,1280,,12.4469,101.09,12,9.1549,137.45,True,0.00729,7437.66,origami,1.36,,
a8w8_blockscale_bpreshuffle,384,5120,1280,,13.4309,374.74,16,9.7842,514.42,True,0.01217,14671.13,origami,1.373,,
a8w8_blockscale_bpreshuffle,9,5120,8192,,32.4447,23.27,,,,,,,,,,
a8w8_blockscale_bpreshuffle,24576,5120,8192,,1818.7936,1133.49,0,1392.5045,1480.49,True,0.01669,3239538.92,origami,1.306,,
a8w8_blockscale_bpreshuffle,10,6144,1536,,12.9656,14.56,,,,,,,,,,
a8w8_blockscale_bpreshuffle,40,6144,1536,,12.5296,60.26,6,8.9095,84.74,True,0.0,12838.29,origami,1.406,,
a8w8_blockscale_bpreshuffle,224,6144,1536,,13.2203,319.8,16,21.9245,192.84,True,0.01015,18300.34,prod_default,0.603,,
a8w8_blockscale_bpreshuffle,12288,6144,1536,,249.292,930.35,0,193.7135,1197.27,True,0.01108,459616.2,origami,1.287,,
a8w8_blockscale_bpreshuffle,3,7168,256,,13.0723,0.84,,,,,,,,,,
a8w8_blockscale_bpreshuffle,40,7168,384,,12.4456,17.69,4,8.7762,25.09,True,0.0,4328.93,origami,1.418,,
a8w8_blockscale_bpreshuffle,6,7168,2304,,12.8843,15.38,,,,,,,,,,
a8w8_blockscale_bpreshuffle,7,7168,4096,,15.4363,26.63,,,,,,,,,,
a8w8_blockscale_bpreshuffle,192,7168,4608,,20.9658,604.96,16,31.6007,401.37,True,0.01029,41866.88,prod_default,0.663,,
a8w8_blockscale_bpreshuffle,24,7168,7168,,32.066,76.91,,,,,,,,,,
a8w8_blockscale_bpreshuffle,17,7168,16384,,63.4347,62.95,,,,,,,,,,
a8w8_blockscale_bpreshuffle,15,8192,1536,,12.8603,29.35,,,,,,,,,,
a8w8_blockscale_bpreshuffle,28,8192,1536,,12.4283,56.7,,,,,,,,,,
a8w8_blockscale_bpreshuffle,24,8192,3072,,12.9603,93.2,,,,,,,,,,
a8w8_blockscale_bpreshuffle,6,8192,6144,,25.5766,23.61,,,,,,,,,,
a8w8_blockscale_bpreshuffle,16,8192,6144,,27.3072,58.98,,,,,,,,,,
a8w8_blockscale_bpreshuffle,1536,8192,6144,,131.5762,1175.13,0,103.3516,1496.05,True,0.01529,247845.83,origami,1.273,,
a8w8_blockscale_bpreshuffle,256,8192,7168,,29.6753,1013.12,16,46.517,646.32,True,0.00956,63759.38,prod_default,0.638,,
a8w8_blockscale_bpreshuffle,3,8192,8192,,32.3713,12.44,,,,,,,,,,
a8w8_blockscale_bpreshuffle,6,8192,8192,,32.5034,24.78,,,,,,,,,,
a8w8_blockscale_bpreshuffle,640,8192,16384,,142.7044,1203.88,0,143.5871,1196.48,True,0.01745,418924.09,prod_default,0.994,,
a8w8_blockscale_bpreshuffle,28,8704,1024,,12.6483,39.46,,,,,,,,,,
a8w8_blockscale_bpreshuffle,300,8704,1024,,12.9243,413.77,0,26.4086,202.5,True,0.01115,21820.44,prod_default,0.489,,
a8w8_blockscale_bpreshuffle,24576,8704,1024,,444.9029,984.68,0,432.2773,1013.44,True,0.01101,978786.64,origami,1.029,,
a8w8_blockscale_bpreshuffle,12,8704,2048,,12.8403,33.32,,,,,,,,,,
a8w8_blockscale_bpreshuffle,11,8704,4096,,18.399,42.63,,,,,,,,,,
a8w8_blockscale_bpreshuffle,896,8704,4096,,62.5467,1021.44,0,48.3157,1322.3,True,0.01404,114491.85,origami,1.295,,
a8w8_blockscale_bpreshuffle,2560,8704,4096,,157.4087,1159.63,0,134.0015,1362.19,True,0.01323,343475.55,origami,1.175,,
a8w8_blockscale_bpreshuffle,448,9216,1024,,14.343,589.54,13,13.435,629.38,True,0.01291,21833.81,origami,1.068,,
a8w8_blockscale_bpreshuffle,777,9216,1024,,24.9859,586.95,0,48.8877,299.98,True,0.01208,42134.85,prod_default,0.511,,
a8w8_blockscale_bpreshuffle,13,9216,2048,,12.9229,37.97,,,,,,,,,,
a8w8_blockscale_bpreshuffle,384,9216,2048,,20.3378,712.74,0,20.1404,719.72,True,0.01293,31672.42,origami,1.01,,
a8w8_blockscale_bpreshuffle,10,9216,2304,,12.7229,33.38,,,,,,,,,,
a8w8_blockscale_bpreshuffle,112,9216,2304,,13.6403,348.7,3,12.2496,388.29,True,0.00598,31604.37,origami,1.114,,
a8w8_blockscale_bpreshuffle,1500,9216,2304,,66.3681,959.81,0,167.8049,379.61,True,0.01155,150865.02,prod_default,0.396,,
a8w8_blockscale_bpreshuffle,17,9216,6144,,26.3845,72.97,,,,,,,,,,
a8w8_blockscale_bpreshuffle,768,9216,7168,,88.9686,1140.5,0,73.2056,1386.08,True,0.01559,190599.91,origami,1.215,,
a8w8_blockscale_bpreshuffle,14,10240,384,,12.4976,8.81,,,,,,,,,,
a8w8_blockscale_bpreshuffle,6,11264,384,,12.3429,4.21,,,,,,,,,,
a8w8_blockscale_bpreshuffle,448,11264,384,,12.8616,301.33,1,12.1989,317.69,True,0.00048,21128.04,origami,1.054,,
a8w8_blockscale_bpreshuffle,24576,11264,384,,343.3887,619.13,0,379.1361,560.75,True,0.00045,743422.16,prod_default,0.906,,
a8w8_blockscale_bpreshuffle,20000,11264,1536,,506.2389,1367.06,0,1786.3997,387.4,True,0.0,1408602.7,prod_default,0.283,,
a8w8_blockscale_bpreshuffle,12,11264,7168,,31.1073,62.29,,,,,,,,,,
a8w8_blockscale_bpreshuffle,20,11264,7168,,32.2673,100.09,,,,,,,,,,
a8w8_blockscale_bpreshuffle,28,11264,7168,,32.9687,137.14,,,,,,,,,,
a8w8_blockscale_bpreshuffle,3072,11264,7168,,392.7124,1263.19,0,348.8022,1422.21,True,0.01631,857699.59,origami,1.126,,
a8w8_blockscale_bpreshuffle,1,12288,6144,,28.282,5.34,,,,,,,,,,
a8w8_blockscale_bpreshuffle,56,12288,8192,,40.7155,276.9,3,34.0154,331.45,True,0.00359,118104.67,origami,1.197,,
a8w8_blockscale_bpreshuffle,40,14336,1536,,12.9616,135.91,3,9.0349,194.98,True,0.0,24335.08,origami,1.435,,
a8w8_blockscale_bpreshuffle,640,14336,1536,,34.0554,827.64,0,36.7635,766.68,True,0.01165,76602.7,prod_default,0.926,,
a8w8_blockscale_bpreshuffle,6,14336,8192,,34.2127,41.19,,,,,,,,,,
a8w8_blockscale_bpreshuffle,17,17408,384,,12.8456,17.69,,,,,,,,,,
a8w8_blockscale_bpreshuffle,448,17408,384,,15.055,397.84,13,14.3737,416.7,True,0.00062,24348.33,origami,1.047,,
a8w8_blockscale_bpreshuffle,10,17408,1024,,13.1043,27.21,,,,,,,,,,
a8w8_blockscale_bpreshuffle,14,36864,1536,,14.6043,108.56,,,,,,,,,,
a8w8_blockscale_bpreshuffle,9,36864,2304,,19.2111,79.58,,,,,,,,,,
a8w8_blockscale_bpreshuffle,16384,36864,2304,,2867.7035,970.51,0,2253.4177,1235.07,True,0.01214,5046874.65,origami,1.273,,
a8w8_blockscale_bpreshuffle,4,36864,8192,,75.1096,32.17,,,,,,,,,,
a8w8_blockscale_bpreshuffle,1500,36864,8192,,990.4399,914.71,0,2665.5838,339.88,True,0.01602,1565922.83,prod_default,0.372,,
a8w8_blockscale_bpreshuffle,2,65536,1280,,18.6884,17.95,,,,,,,,,,
a8w8_blockscale_bpreshuffle,80,65536,1280,,27.5673,486.87,8,20.6484,650.01,True,0.00955,69687.71,origami,1.335,,
a8w8_blockscale_bpreshuffle,768,65536,1280,,128.7094,1001.08,0,111.141,1159.33,True,0.01105,268356.77,origami,1.158,,
