M,N,K
9918,3072,6144
9996,3072,6144
10119,3072,6144
10749,3072,6144
11338,3072,6144
12038,3072,6144
12127,3072,6144
12857,3072,6144
13728,3072,6144
13837,3072,6144
13858,3072,6144
14289,3072,6144
14437,3072,6144
14495,3072,6144
14596,3072,6144
14868,3072,6144
16356,3072,6144
16802,3072,6144
17253,3072,6144
18089,3072,6144
18565,3072,6144
5,4096,3072
11,4096,3072
13,4096,3072
14,4096,3072
15,4096,3072
20,4096,3072
25,4096,3072
266,4096,3072
562,4096,3072
717,4096,3072
725,4096,3072
771,4096,3072
798,4096,3072
956,4096,3072
1066,4096,3072
1249,4096,3072
1379,4096,3072
1395,4096,3072
1421,4096,3072
1430,4096,3072
1433,4096,3072
1448,4096,3072
1521,4096,3072
1588,4096,3072
1627,4096,3072
1649,4096,3072
1726,4096,3072
1757,4096,3072
1801,4096,3072
1823,4096,3072
2141,4096,3072
2163,4096,3072
2201,4096,3072
2232,4096,3072
2259,4096,3072
2806,4096,3072
2814,4096,3072
3512,4096,3072
3850,4096,3072
4058,4096,3072
4066,4096,3072
4344,4096,3072
4441,4096,3072
4482,4096,3072
4590,4096,3072
4592,4096,3072
4620,4096,3072
4691,4096,3072
4749,4096,3072
4797,4096,3072
4812,4096,3072
4839,4096,3072
4918,4096,3072
4944,4096,3072
5011,4096,3072
5042,4096,3072
5161,4096,3072
5206,4096,3072
5215,4096,3072
5228,4096,3072
5232,4096,3072
5375,4096,3072
5383,4096,3072
5521,4096,3072
5534,4096,3072
5602,4096,3072
5884,4096,3072
5923,4096,3072
5930,4096,3072
5975,4096,3072
6013,4096,3072
6072,4096,3072
6154,4096,3072
6292,4096,3072
6427,4096,3072
6520,4096,3072
6631,4096,3072
7346,4096,3072
7907,4096,3072
8221,4096,3072
8304,4096,3072
8573,4096,3072
8578,4096,3072
8985,4096,3072
9046,4096,3072
9060,4096,3072
9207,4096,3072
9228,4096,3072
9870,4096,3072
10097,4096,3072
10425,4096,3072
11609,4096,3072
12097,4096,3072
12819,4096,3072
12974,4096,3072
13372,4096,3072
13469,4096,3072
13658,4096,3072
13850,4096,3072
14125,4096,3072
14410,4096,3072
14433,4096,3072
14612,4096,3072
15403,4096,3072
15566,4096,3072
15774,4096,3072
15967,4096,3072
16004,4096,3072
16991,4096,3072
16999,4096,3072
17258,4096,3072
18796,4096,3072
31,8192,3072
594,8192,3072
761,8192,3072
800,8192,3072
889,8192,3072
1080,8192,3072
1150,8192,3072
1180,8192,3072
1206,8192,3072
1244,8192,3072
1258,8192,3072
1271,8192,3072
1424,8192,3072
1463,8192,3072
1506,8192,3072
1671,8192,3072
1787,8192,3072
1855,8192,3072
1873,8192,3072
1982,8192,3072
1993,8192,3072
2286,8192,3072
2300,8192,3072
2555,8192,3072
2588,8192,3072
2603,8192,3072
2892,8192,3072
2927,8192,3072
3097,8192,3072
3280,8192,3072
3347,8192,3072
3768,8192,3072
3830,8192,3072
4377,8192,3072
4565,8192,3072
4717,8192,3072
4870,8192,3072
4874,8192,3072
4883,8192,3072
4894,8192,3072
4896,8192,3072
5094,8192,3072
5245,8192,3072
5275,8192,3072
5277,8192,3072
5292,8192,3072
5315,8192,3072
5327,8192,3072
5385,8192,3072
5455,8192,3072
5590,8192,3072
5603,8192,3072
5609,8192,3072
5661,8192,3072
5671,8192,3072
5688,8192,3072
5811,8192,3072
5863,8192,3072
5909,8192,3072
6159,8192,3072
6281,8192,3072
6286,8192,3072
6295,8192,3072
6557,8192,3072
6849,8192,3072
7109,8192,3072
7162,8192,3072
7464,8192,3072
7881,8192,3072
7909,8192,3072
8025,8192,3072
8327,8192,3072
8405,8192,3072
8452,8192,3072
8528,8192,3072
8544,8192,3072
8556,8192,3072
8652,8192,3072
8767,8192,3072
8868,8192,3072
9431,8192,3072
9461,8192,3072
9476,8192,3072
9556,8192,3072
10361,8192,3072
10913,8192,3072
11020,8192,3072
11199,8192,3072
11571,8192,3072
11709,8192,3072
12215,8192,3072
12811,8192,3072
13235,8192,3072
13583,8192,3072
13809,8192,3072
15413,8192,3072
17066,8192,3072
