M,N,K
17,3072,1024
20,3072,1024
40,3072,1024
56,3072,1024
96,3072,1024
112,3072,1024
448,3072,1024
640,3072,1024
777,3072,1024
2048,3072,1024
7,3072,1280
20,3072,1280
33,3072,1280
320,3072,1280
896,3072,1280
6000,3072,1280
9,3072,1536
28,3072,1536
5120,3072,1536
11,3072,2048
13,3072,2048
14,3072,2048
17,3072,2048
24,3072,2048
96,3072,2048
3072,3072,2048
3,3072,6144
5,3072,6144
6,3072,6144
10,3072,6144
11,3072,6144
224,3072,6144
2560,3072,6144
65536,3072,6144
3,3072,7168
5,3072,7168
17,3072,7168
64,3072,7168
224,3072,7168
2048,3072,7168
4096,3072,7168
65536,3072,7168
17,3072,8192
28,3072,8192
32,3072,8192
48,3072,8192
64,3072,8192
80,3072,8192
768,3072,8192
1000,3072,8192
1536,3072,8192
20,3584,512
56,3584,512
160,3584,512
333,3584,512
10000,3584,512
10240,3584,512
4,3584,7168
20,3584,7168
112,3584,7168
500,3584,7168
2560,3584,7168
12288,3584,7168
49152,3584,7168
1,3584,16384
2,3584,16384
4,3584,16384
9,3584,16384
28,3584,16384
40,3584,16384
96,3584,16384
640,3584,16384
3333,3584,16384
6000,3584,16384
6,4096,512
33,4096,512
40,4096,512
2000,4096,512
2560,4096,512
6144,4096,512
12288,4096,512
6,4096,1024
24,4096,1024
56,4096,1024
80,4096,1024
96,4096,1024
448,4096,1024
896,4096,1024
9,4096,1280
11,4096,1280
40,4096,1280
48,4096,1280
333,4096,1280
1280,4096,1280
1500,4096,1280
2048,4096,1280
3072,4096,1280
12288,4096,1280
32768,4096,1280
65536,4096,1280
12,4096,2048
20,4096,2048
192,4096,2048
320,4096,2048
768,4096,2048
2560,4096,2048
5,4096,3072
9,4096,3072
15,4096,3072
56,4096,3072
10,4096,4096
13,4096,4096
20,4096,4096
160,4096,4096
384,4096,4096
448,4096,4096
640,4096,4096
1500,4096,4096
2560,4096,4096
5,4096,7168
8,4096,7168
12,4096,7168
13,4096,7168
64,4096,7168
96,4096,7168
192,4096,7168
2048,4096,7168
20,4096,8192
40,4096,8192
896,4096,8192
11,4352,2304
16,4352,2304
17,4352,2304
20,4352,2304
40,4352,2304
48,4352,2304
640,4352,2304
3000,4352,2304
7,4352,4096
10,4352,4096
48,4352,4096
2000,4352,4096
3,4608,2048
5,4608,2048
9,4608,2048
112,4608,2048
192,4608,2048
224,4608,2048
448,4608,2048
3072,4608,2048
11,4608,4096
40,4608,4096
96,4608,4096
448,4608,4096
2000,4608,4096
3072,4608,4096
7,4608,7168
2560,4608,7168
10000,4608,7168
17,4608,16384
48,4608,16384
96,4608,16384
128,4608,16384
640,4608,16384
2048,4608,16384
3072,4608,16384
6,5120,1280
11,5120,1280
14,5120,1280
17,5120,1280
56,5120,1280
64,5120,1280
96,5120,1280
100,5120,1280
112,5120,1280
384,5120,1280
768,5120,1280
1234,5120,1280
5,5120,4096
12,5120,4096
13,5120,4096
17,5120,4096
100,5120,4096
224,5120,4096
3000,5120,4096
10240,5120,4096
12288,5120,4096
7,5120,8192
9,5120,8192
10,5120,8192
17,5120,8192
24,5120,8192
64,5120,8192
112,5120,8192
256,5120,8192
448,5120,8192
1280,5120,8192
2048,5120,8192
24576,5120,8192
7,5120,16384
64,5120,16384
256,5120,16384
512,5120,16384
768,5120,16384
8192,5120,16384
12288,5120,16384
7,6144,1536
10,6144,1536
12,6144,1536
40,6144,1536
56,6144,1536
224,6144,1536
777,6144,1536
12288,6144,1536
3,6144,2048
7,6144,2048
13,6144,2048
15,6144,2048
20,6144,2048
448,6144,2048
640,6144,2048
896,6144,2048
1280,6144,2048
2560,6144,2048
7,6144,7168
15,6144,7168
20,6144,7168
28,6144,7168
3,7168,256
9,7168,256
10,7168,256
56,7168,256
160,7168,256
12,7168,384
28,7168,384
40,7168,384
56,7168,384
10000,7168,384
40000,7168,384
1,7168,512
17,7168,512
20,7168,512
224,7168,512
640,7168,512
2048,7168,512
2560,7168,512
3000,7168,512
49152,7168,512
5,7168,2048
20,7168,2048
6,7168,2304
12,7168,2304
14,7168,2304
24,7168,2304
12288,7168,2304
11,7168,3072
12,7168,3072
17,7168,3072
28,7168,3072
333,7168,3072
5120,7168,3072
6000,7168,3072
5,7168,4096
7,7168,4096
20,7168,4096
80,7168,4096
896,7168,4096
20,7168,4608
192,7168,4608
500,7168,4608
17,7168,7168
24,7168,7168
6,7168,16384
17,7168,16384
24,7168,16384
7,8192,512
28,8192,512
224,8192,512
384,8192,512
777,8192,512
3072,8192,512
3333,8192,512
65536,8192,512
5,8192,1536
14,8192,1536
15,8192,1536
28,8192,1536
2560,8192,1536
10000,8192,1536
9,8192,3072
10,8192,3072
15,8192,3072
24,8192,3072
56,8192,3072
160,8192,3072
3072,8192,3072
6,8192,6144
11,8192,6144
12,8192,6144
16,8192,6144
17,8192,6144
28,8192,6144
48,8192,6144
56,8192,6144
100,8192,6144
128,8192,6144
192,8192,6144
384,8192,6144
1536,8192,6144
8192,8192,6144
6,8192,7168
7,8192,7168
8,8192,7168
10,8192,7168
16,8192,7168
80,8192,7168
112,8192,7168
224,8192,7168
256,8192,7168
768,8192,7168
1500,8192,7168
6144,8192,7168
10240,8192,7168
20480,8192,7168
32768,8192,7168
3,8192,8192
6,8192,8192
33,8192,8192
768,8192,8192
1280,8192,8192
2048,8192,8192
11,8192,16384
500,8192,16384
512,8192,16384
640,8192,16384
768,8192,16384
1280,8192,16384
16384,8192,16384
20480,8192,16384
40000,8192,16384
65536,8192,16384
5,8704,1024
11,8704,1024
13,8704,1024
28,8704,1024
80,8704,1024
128,8704,1024
300,8704,1024
320,8704,1024
24576,8704,1024
12,8704,1536
16,8704,1536
256,8704,1536
300,8704,1536
640,8704,1536
7,8704,2048
12,8704,2048
256,8704,2048
768,8704,2048
24576,8704,2048
5,8704,4096
11,8704,4096
13,8704,4096
20,8704,4096
384,8704,4096
500,8704,4096
896,8704,4096
2560,8704,4096
11,9216,384
15,9216,384
20,9216,384
32,9216,384
40,9216,384
64,9216,384
128,9216,384
640,9216,384
1280,9216,384
8192,9216,384
3,9216,1024
11,9216,1024
28,9216,1024
56,9216,1024
160,9216,1024
320,9216,1024
384,9216,1024
448,9216,1024
777,9216,1024
896,9216,1024
13,9216,2048
24,9216,2048
56,9216,2048
384,9216,2048
448,9216,2048
1280,9216,2048
1,9216,2304
10,9216,2304
20,9216,2304
24,9216,2304
56,9216,2304
64,9216,2304
112,9216,2304
192,9216,2304
768,9216,2304
1500,9216,2304
2048,9216,2304
4096,9216,2304
49152,9216,2304
13,9216,4096
15,9216,4096
20,9216,4096
24,9216,4096
3000,9216,4096
6,9216,6144
17,9216,6144
40,9216,6144
112,9216,6144
448,9216,6144
1280,9216,6144
5,9216,7168
12,9216,7168
14,9216,7168
448,9216,7168
768,9216,7168
1280,9216,7168
2,10240,384
7,10240,384
9,10240,384
14,10240,384
48,10240,384
80,10240,384
2048,10240,384
2560,10240,384
7,10240,4096
13,10240,4096
15,10240,4096
40,10240,4096
2560,10240,4096
7,10240,4608
9,10240,4608
20,10240,4608
48,10240,4608
80,10240,4608
1024,10240,4608
10000,10240,4608
20480,10240,4608
4,10240,7168
7,10240,7168
17,10240,7168
48,10240,7168
64,10240,7168
500,10240,7168
3000,10240,7168
4096,10240,7168
8192,10240,7168
5,11264,384
6,11264,384
9,11264,384
11,11264,384
17,11264,384
20,11264,384
56,11264,384
448,11264,384
1024,11264,384
24576,11264,384
9,11264,1536
40,11264,1536
20000,11264,1536
2,11264,7168
3,11264,7168
4,11264,7168
8,11264,7168
10,11264,7168
12,11264,7168
20,11264,7168
28,11264,7168
56,11264,7168
80,11264,7168
512,11264,7168
2000,11264,7168
3072,11264,7168
4096,11264,7168
20480,11264,7168
11,12288,2048
15,12288,2048
48,12288,2048
777,12288,2048
1,12288,6144
12,12288,6144
15,12288,6144
80,12288,6144
112,12288,6144
160,12288,6144
640,12288,6144
768,12288,6144
3000,12288,6144
12288,12288,6144
20480,12288,6144
14,12288,8192
56,12288,8192
128,12288,8192
192,12288,8192
320,12288,8192
384,12288,8192
3,14336,1536
6,14336,1536
10,14336,1536
11,14336,1536
20,14336,1536
40,14336,1536
640,14336,1536
2000,14336,1536
6,14336,8192
20,14336,8192
28,14336,8192
32,14336,8192
112,14336,8192
256,14336,8192
512,14336,8192
9,17408,384
12,17408,384
17,17408,384
28,17408,384
56,17408,384
448,17408,384
5120,17408,384
256,17408,512
512,17408,512
1024,17408,512
3072,17408,512
10,17408,1024
15,17408,1024
16,17408,1024
17,17408,1024
32,17408,1024
40,17408,1024
160,17408,1024
384,17408,1024
5,17408,4096
13,17408,4096
96,17408,4096
200,17408,4096
384,17408,4096
20480,17408,4096
11,20480,4096
48,20480,4096
1536,20480,4096
8,20480,4608
15,20480,4608
40,20480,4608
48,20480,4608
448,20480,4608
640,20480,4608
768,20480,4608
896,20480,4608
3072,20480,4608
6144,20480,4608
3,36864,1536
10,36864,1536
14,36864,1536
17,36864,1536
20,36864,1536
28,36864,1536
64,36864,1536
128,36864,1536
1024,36864,1536
2560,36864,1536
7,36864,2304
9,36864,2304
10,36864,2304
13,36864,2304
17,36864,2304
24,36864,2304
28,36864,2304
112,36864,2304
160,36864,2304
16384,36864,2304
24576,36864,2304
11,36864,7168
14,36864,7168
17,36864,7168
24,36864,7168
28,36864,7168
32,36864,7168
40,36864,7168
80,36864,7168
512,36864,7168
20000,36864,7168
4,36864,8192
6,36864,8192
8,36864,8192
9,36864,8192
10,36864,8192
13,36864,8192
128,36864,8192
160,36864,8192
512,36864,8192
1500,36864,8192
2,65536,1280
7,65536,1280
11,65536,1280
17,65536,1280
80,65536,1280
768,65536,1280
896,65536,1280
1536,65536,1280
16384,65536,1280
