M,N,K
384,1536,7168
777,1536,7168
1280,1536,7168
11,2048,128
20,2048,128
448,2048,128
5,2048,512
17,2048,512
40,2048,512
160,2048,512
320,2048,512
65536,2048,512
9,2048,1024
14,2048,1024
40,2048,1024
56,2048,1024
160,2048,1024
448,2048,1024
896,2048,1024
896,2048,2048
10240,2048,2048
6,2048,3072
333,2048,3072
3,2048,4096
13,2048,4096
14,2048,4096
40,2048,4096
384,2048,4096
448,2048,4096
16384,2048,4096
6,2048,5120
7,2048,5120
11,2048,5120
14,2048,5120
48,2048,5120
56,2048,5120
192,2048,5120
4096,2048,5120
14,2048,7168
15,2048,7168
28,2048,7168
56,2048,7168
6,2112,7168
9,2112,7168
12,2112,7168
80,2112,7168
777,2112,7168
20480,2112,7168
24,2240,2176
28,2240,2176
2048,2240,2176
20000,2240,2176
7,2240,3072
15,2240,3072
333,2240,3072
4096,2240,3072
10240,2240,3072
40000,2240,3072
14,2240,7168
24,2240,7168
28,2240,7168
40,2240,7168
48,2240,7168
300,2240,7168
1000,2240,7168
4,2240,9216
6,2240,9216
8,2240,9216
15,2240,9216
448,2240,9216
1234,2240,9216
11,2304,4096
1234,2304,4096
1,2304,9216
3,2304,9216
13,2304,9216
15,2304,9216
17,2304,9216
48,2304,9216
640,2304,9216
15,2560,2048
17,2560,2048
320,2560,2048
1280,2560,2048
11,2560,4096
28,2560,4096
512,2560,4096
1500,2560,4096
2560,2560,4096
3072,2560,4096
24576,2560,4096
5,2560,5120
11,2560,5120
24,2560,5120
96,2560,5120
160,2560,5120
256,2560,5120
300,2560,5120
10000,2560,5120
20480,2560,5120
3,2560,16384
15,2560,16384
384,2560,16384
512,2560,16384
2048,2560,16384
2560,2560,16384
4096,2560,16384
10240,2560,16384
5,2624,384
11,2624,384
20,2624,384
32,2624,384
112,2624,384
65536,2624,384
16,2624,4096
17,2624,4096
20,2624,4096
56,2624,4096
1536,2624,4096
2560,2624,4096
9,2624,6144
28,2624,6144
1024,2624,6144
1536,2624,6144
16384,2624,6144
13,3072,1536
14,3072,1536
28,3072,1536
17,3072,2048
24,3072,2048
224,3072,2048
384,3072,2048
6,3072,3072
11,3072,3072
13,3072,3072
20,3072,3072
5,3072,6144
12,3072,6144
20,3072,6144
5,3584,2304
16,3584,2304
32,3584,2304
128,3584,2304
1,3584,4096
112,3584,4096
224,3584,4096
333,3584,4096
10240,3584,4096
3,3584,5120
8,3584,5120
13,3584,5120
80,3584,5120
96,3584,5120
128,3584,5120
2048,3584,5120
32,3584,8192
80,3584,8192
96,3584,8192
100,3584,8192
112,3584,8192
1024,3584,8192
3,4096,128
15,4096,128
56,4096,128
640,4096,128
3,4096,384
8,4096,384
24,4096,384
192,4096,384
512,4096,384
12288,4096,384
5,4096,512
40000,4096,512
17,4096,1024
24,4096,1024
224,4096,1024
12288,4096,1024
20480,4096,1024
2,4096,1280
3,4096,1280
4,4096,1280
7,4096,1280
32,4096,1280
40,4096,1280
64,4096,1280
320,4096,1280
1500,4096,1280
1536,4096,1280
10240,4096,1280
5,4096,2048
12,4096,2048
17,4096,2048
28,4096,2048
160,4096,2048
640,4096,2048
20480,4096,2048
6,4096,3072
13,4096,3072
14,4096,4096
40,4096,4096
3,4096,5120
48,4096,5120
128,4096,5120
320,4096,5120
384,4096,5120
2048,4096,5120
3072,4096,5120
20000,4096,5120
7,4096,7168
11,4096,7168
13,4096,7168
15,4096,7168
768,4096,7168
20,4096,8192
56,4096,8192
80,4096,8192
320,4096,8192
5,4096,16384
12,4096,16384
40,4096,16384
320,4096,16384
1024,4096,16384
4096,4096,16384
6000,4096,16384
6,4352,5120
11,4352,5120
24,4352,5120
28,4352,5120
80,4352,5120
192,4352,5120
512,4352,5120
896,4352,5120
2560,4352,5120
40000,4352,5120
2,4352,7168
6,4352,7168
7,4352,7168
11,4352,7168
14,4352,7168
20,4352,7168
160,4352,7168
896,4352,7168
20480,4352,7168
160,4608,128
192,4608,128
512,4608,128
1234,4608,128
2048,4608,128
2,4608,1280
4,4608,1280
1536,4608,1280
3072,4608,1280
2,4608,1536
9,4608,1536
40,4608,1536
56,4608,1536
112,4608,1536
333,4608,1536
640,4608,1536
1536,4608,1536
10240,4608,1536
16384,4608,1536
49152,4608,1536
12,4608,2048
15,4608,2048
17,4608,2048
20,4608,2048
640,4608,2048
80,4608,4096
1234,4608,4096
1280,4608,4096
1500,4608,4096
20480,4608,4096
49152,4608,4096
14,4608,6144
15,4608,6144
16,4608,6144
28,4608,6144
224,4608,6144
3072,4608,6144
7,4608,7168
11,4608,7168
13,4608,7168
24,4608,7168
3072,4608,7168
6,5120,384
9,5120,384
28,5120,384
10000,5120,384
4,5120,768
6,5120,768
24,5120,768
40,5120,768
192,5120,768
3072,5120,768
10240,5120,768
8,5120,1024
12,5120,1024
15,5120,1024
28,5120,1024
128,5120,1024
500,5120,1024
1280,5120,1024
1536,5120,1024
3333,5120,1024
65536,5120,1024
2,5120,1280
5,5120,1280
17,5120,1280
32,5120,1280
40,5120,1280
64,5120,1280
768,5120,1280
6000,5120,1280
20000,5120,1280
48,5120,1536
256,5120,1536
300,5120,1536
384,5120,1536
768,5120,1536
4096,5120,1536
13,5120,2048
17,5120,2048
32,5120,2048
64,5120,2048
448,5120,2048
896,5120,2048
8,5120,2176
9,5120,2176
17,5120,2176
24,5120,2176
56,5120,2176
224,5120,2176
40000,5120,2176
49152,5120,2176
15,5120,3072
2560,5120,3072
1,5120,3200
5,5120,3200
32,5120,3200
40,5120,3200
64,5120,3200
300,5120,3200
320,5120,3200
1280,5120,3200
9,5120,4096
448,5120,4096
3333,5120,4096
6,5120,4352
10,5120,4352
16,5120,4352
64,5120,4352
224,5120,4352
5,5120,5120
56,5120,5120
200,5120,5120
320,5120,5120
384,5120,5120
448,5120,5120
768,5120,5120
2048,5120,5120
65536,5120,5120
3,5120,6400
4,5120,6400
7,5120,6400
256,5120,6400
640,5120,6400
896,5120,6400
2048,5120,6400
9,5120,8704
14,5120,8704
33,5120,8704
48,5120,8704
160,5120,8704
224,5120,8704
384,5120,8704
2000,5120,8704
5,5120,12800
17,5120,12800
48,5120,12800
448,5120,12800
500,5120,12800
512,5120,12800
777,5120,12800
24576,5120,12800
40000,5120,12800
1,5120,18432
6,5120,18432
7,5120,18432
20,5120,18432
768,5120,18432
777,5120,18432
20,6144,256
448,6144,256
777,6144,256
1280,6144,256
10,6144,1536
15,6144,1536
20,6144,1536
1500,6144,1536
100,6144,2048
6144,6144,2048
1,6400,128
9,6400,128
15,6400,128
24,6400,128
96,6400,128
128,6400,128
160,6400,128
640,6400,128
2560,6400,128
8192,6400,128
10,6400,2176
20,6400,2176
32,6400,2176
40,6400,2176
192,6400,2176
896,6400,2176
2048,6400,2176
6,6400,5120
7,6400,5120
11,6400,5120
13,6400,5120
14,6400,5120
28,6400,5120
32,6400,5120
48,6400,5120
80,6400,5120
160,6400,5120
384,6400,5120
777,6400,5120
2,6400,7168
15,6400,7168
17,6400,7168
20,6400,7168
28,6400,7168
64,6400,7168
160,6400,7168
320,6400,7168
5120,6400,7168
16384,6400,7168
3,7168,256
7,7168,256
17,7168,256
5,7168,384
17,7168,384
28,7168,384
333,7168,384
65536,7168,384
11,7168,512
13,7168,512
20480,7168,512
3,7168,2048
11,7168,2048
13,7168,2048
20,7168,2048
48,7168,2048
56,7168,2048
768,7168,2048
12,7168,2176
24,7168,2176
28,7168,2176
56,7168,2176
96,7168,2176
256,7168,2176
320,7168,2176
384,7168,2176
448,7168,2176
6144,7168,2176
40000,7168,2176
5,7168,2304
11,7168,2304
20,7168,2304
33,7168,2304
768,7168,2304
1000,7168,2304
5,7168,4096
7,7168,4096
14,7168,4608
17,7168,4608
20,7168,4608
28,7168,4608
333,7168,4608
13,7168,5120
15,7168,5120
56,7168,5120
1,7168,9216
17,7168,9216
32,7168,9216
128,7168,9216
640,7168,9216
1280,7168,9216
7,7168,16384
2560,7168,16384
20480,7168,16384
49152,7168,16384
7,7168,18432
9,7168,18432
56,7168,18432
896,7168,18432
1536,7168,18432
56,8192,512
112,8192,512
6,8192,1280
7,8192,1280
9,8192,1280
17,8192,1280
100,8192,1280
320,8192,1280
1536,8192,1280
3072,8192,1280
10000,8192,1280
768,8192,1536
7,8192,3072
13,8192,3072
28,8192,3072
333,8192,3072
15,8192,5120
17,8192,5120
28,8192,5120
1000,8192,5120
1536,8192,5120
4096,8192,5120
5120,8192,5120
1,8192,12800
11,8192,12800
28,8192,12800
224,8192,12800
256,8192,12800
4096,8192,12800
24,8704,128
160,8704,128
384,8704,128
3333,8704,128
20480,8704,128
14,8704,1280
48,8704,1280
512,8704,1280
3072,8704,1280
40000,8704,1280
1,8704,3072
80,8704,3072
96,8704,3072
128,8704,3072
256,8704,3072
32768,8704,3072
16,8704,4352
32,8704,4352
64,8704,4352
192,8704,4352
1024,8704,4352
2048,8704,4352
8,8704,5120
10,8704,5120
14,8704,5120
15,8704,5120
16,8704,5120
300,8704,5120
512,8704,5120
1280,8704,5120
2048,8704,5120
3,9216,2048
5,9216,2048
6,9216,2048
7,9216,2048
11,9216,2048
28,9216,2048
56,9216,2048
1536,9216,2048
2560,9216,2048
65536,9216,2048
20,9216,4096
28,9216,4096
320,9216,4096
448,9216,4096
500,9216,4096
20480,9216,4096
768,9216,7168
49152,9216,7168
28,11264,512
32,11264,512
33,11264,512
56,11264,512
128,11264,512
160,11264,512
320,11264,512
512,11264,512
1280,11264,512
1500,11264,512
40,11264,1536
20,12288,1536
24,12288,1536
1280,12288,1536
5,12288,2048
11,12288,2048
12,12288,2048
28,12288,2048
192,12288,2048
384,12288,2048
10000,12288,2048
10240,12288,2048
1,12288,8192
2,12288,8192
14,12288,8192
15,12288,8192
32,12288,8192
112,12288,8192
192,12288,8192
200,12288,8192
320,12288,8192
10240,12288,8192
1,12800,4608
7,12800,4608
96,12800,4608
128,12800,4608
512,12800,4608
3333,12800,4608
3,12800,5120
11,12800,5120
17,12800,5120
33,12800,5120
48,12800,5120
80,12800,5120
640,12800,5120
1024,12800,5120
2048,12800,5120
10,12800,6400
13,12800,6400
17,12800,6400
32,12800,6400
40,12800,6400
64,12800,6400
160,12800,6400
192,12800,6400
384,12800,6400
768,12800,6400
1280,12800,6400
1536,12800,6400
2,14336,512
15,14336,512
28,14336,512
32,14336,512
48,14336,512
128,14336,512
200,14336,512
256,14336,512
1234,14336,512
4096,14336,512
10000,14336,512
65536,14336,512
11,14336,1536
300,14336,1536
24576,14336,1536
2,14336,3072
7,14336,3072
11,14336,3072
13,14336,3072
24,14336,3072
28,14336,3072
32,14336,3072
56,14336,3072
96,14336,3072
192,14336,3072
10000,14336,3072
65536,14336,3072
13,14336,5120
24,14336,5120
28,14336,5120
80,14336,5120
96,14336,5120
1280,14336,5120
3,16384,512
1280,16384,512
4,17408,1024
5,17408,1024
256,17408,1024
3,17408,5120
8,17408,5120
11,17408,5120
20,17408,5120
768,17408,5120
1000,17408,5120
1234,17408,5120
3000,17408,5120
10,20480,1536
14,20480,1536
40,20480,1536
3000,20480,1536
384,20480,4608
896,20480,4608
1024,20480,4608
4,20480,8704
15,20480,8704
24,20480,8704
128,20480,8704
200,20480,8704
320,20480,8704
3000,20480,8704
49152,20480,8704
17,24576,1536
28,24576,1536
112,24576,1536
768,24576,1536
1536,24576,1536
3000,24576,1536
7,24576,4352
48,24576,4352
128,24576,4352
200,24576,4352
448,24576,4352
768,24576,4352
896,24576,4352
1024,24576,4352
10240,24576,4352
65536,24576,4352
2,24576,18432
9,24576,18432
32,24576,18432
112,24576,18432
128,24576,18432
192,24576,18432
224,24576,18432
2560,24576,18432
5,25600,5120
11,25600,5120
28,25600,5120
32,25600,5120
64,25600,5120
80,25600,5120
224,25600,5120
300,25600,5120
320,25600,5120
640,25600,5120
768,25600,5120
1536,25600,5120
20480,25600,5120
6,32768,512
7,32768,512
33,32768,512
80,32768,512
1280,32768,512
1536,32768,512
20000,32768,512
4,32768,768
13,32768,768
17,32768,768
24,32768,768
28,32768,768
32,32768,768
56,32768,768
128,32768,768
256,32768,768
1280,32768,768
6144,32768,768
65536,32768,768
6,32768,1536
7,32768,1536
9,32768,1536
6000,32768,1536
28,32768,8704
40,32768,8704
48,32768,8704
448,32768,8704
768,32768,8704
1536,32768,8704
14,32768,18432
17,32768,18432
20,32768,18432
40,32768,18432
192,32768,18432
768,32768,18432
1280,32768,18432
3072,32768,18432
6000,32768,18432
20000,32768,18432
7,36864,7168
12,36864,7168
24576,36864,7168
49152,36864,7168
65536,36864,7168
