M,N,K
15419,1536,7168
15499,1536,7168
16932,1536,7168
17053,1536,7168
17699,1536,7168
18334,1536,7168
18494,1536,7168
18596,1536,7168
18616,1536,7168
18704,1536,7168
18812,1536,7168
18910,1536,7168
19216,1536,7168
19869,1536,7168
20112,1536,7168
20134,1536,7168
20545,1536,7168
20589,1536,7168
20711,1536,7168
20713,1536,7168
20759,1536,7168
20986,1536,7168
22742,1536,7168
22916,1536,7168
23516,1536,7168
23659,1536,7168
23731,1536,7168
23916,1536,7168
24194,1536,7168
24910,1536,7168
24973,1536,7168
26083,1536,7168
26277,1536,7168
27132,1536,7168
28047,1536,7168
28480,1536,7168
28751,1536,7168
28756,1536,7168
30173,1536,7168
30671,1536,7168
32927,1536,7168
33024,1536,7168
2044,4096,1280
2210,4096,1280
2837,4096,1280
3884,4096,1280
6329,4096,1280
9186,4096,1280
10920,4096,1280
11772,4096,1280
21994,4096,1280
22225,4096,1280
30851,4096,1280
178,4608,7168
201,4608,7168
267,4608,7168
999,4608,7168
1133,4608,7168
1589,4608,7168
1715,4608,7168
2023,4608,7168
2056,4608,7168
2062,4608,7168
2266,4608,7168
2404,4608,7168
2565,4608,7168
2651,4608,7168
2811,4608,7168
2847,4608,7168
2850,4608,7168
2870,4608,7168
3048,4608,7168
3095,4608,7168
3101,4608,7168
3111,4608,7168
3466,4608,7168
3571,4608,7168
3668,4608,7168
3769,4608,7168
4194,4608,7168
4905,4608,7168
4910,4608,7168
4999,4608,7168
5000,4608,7168
5209,4608,7168
5502,4608,7168
5751,4608,7168
6246,4608,7168
6313,4608,7168
6748,4608,7168
7093,4608,7168
8119,4608,7168
8233,4608,7168
8620,4608,7168
8732,4608,7168
8733,4608,7168
9026,4608,7168
9040,4608,7168
9310,4608,7168
9381,4608,7168
9561,4608,7168
9595,4608,7168
9726,4608,7168
9820,4608,7168
10168,4608,7168
10175,4608,7168
10199,4608,7168
10238,4608,7168
10471,4608,7168
10480,4608,7168
10481,4608,7168
10679,4608,7168
10711,4608,7168
10864,4608,7168
10934,4608,7168
10935,4608,7168
10966,4608,7168
11109,4608,7168
11241,4608,7168
11399,4608,7168
11441,4608,7168
11500,4608,7168
11519,4608,7168
11767,4608,7168
11838,4608,7168
11971,4608,7168
12042,4608,7168
12240,4608,7168
12453,4608,7168
12842,4608,7168
13088,4608,7168
14586,4608,7168
14823,4608,7168
15227,4608,7168
15519,4608,7168
15810,4608,7168
15869,4608,7168
16283,4608,7168
16925,4608,7168
17121,4608,7168
17211,4608,7168
17228,4608,7168
17763,4608,7168
19122,4608,7168
19148,4608,7168
19310,4608,7168
20188,4608,7168
20456,4608,7168
20675,4608,7168
21304,4608,7168
21538,4608,7168
21754,4608,7168
21944,4608,7168
22101,4608,7168
22282,4608,7168
22544,4608,7168
22657,4608,7168
23036,4608,7168
23063,4608,7168
23693,4608,7168
24559,4608,7168
25730,4608,7168
26493,4608,7168
27020,4608,7168
27029,4608,7168
27237,4608,7168
27245,4608,7168
27562,4608,7168
27789,4608,7168
27987,4608,7168
28198,4608,7168
28288,4608,7168
28435,4608,7168
28488,4608,7168
28595,4608,7168
29050,4608,7168
30400,4608,7168
30750,4608,7168
31214,4608,7168
32258,4608,7168
32491,4608,7168
32611,4608,7168
153,7168,256
185,7168,256
190,7168,256
331,7168,256
668,7168,256
748,7168,256
1295,7168,256
2346,7168,256
2599,7168,256
2620,7168,256
2750,7168,256
2888,7168,256
2942,7168,256
2968,7168,256
3155,7168,256
3395,7168,256
3566,7168,256
3585,7168,256
3744,7168,256
3873,7168,256
3988,7168,256
4010,7168,256
4071,7168,256
4197,7168,256
4458,7168,256
5001,7168,256
5160,7168,256
5197,7168,256
5313,7168,256
5360,7168,256
5549,7168,256
5588,7168,256
5767,7168,256
6098,7168,256
6216,7168,256
6341,7168,256
6474,7168,256
6704,7168,256
6870,7168,256
6997,7168,256
7045,7168,256
7432,7168,256
7696,7168,256
8079,7168,256
8260,7168,256
8421,7168,256
8467,7168,256
8842,7168,256
8843,7168,256
9018,7168,256
9120,7168,256
9185,7168,256
9290,7168,256
9658,7168,256
9668,7168,256
9777,7168,256
9843,7168,256
10007,7168,256
10140,7168,256
10511,7168,256
10781,7168,256
10860,7168,256
10978,7168,256
11126,7168,256
11153,7168,256
11184,7168,256
11197,7168,256
11259,7168,256
11780,7168,256
11899,7168,256
11957,7168,256
12027,7168,256
12151,7168,256
12283,7168,256
12328,7168,256
12457,7168,256
12661,7168,256
12773,7168,256
13294,7168,256
13380,7168,256
13648,7168,256
16323,7168,256
16519,7168,256
16663,7168,256
16964,7168,256
17344,7168,256
17425,7168,256
17519,7168,256
17569,7168,256
17573,7168,256
17989,7168,256
18828,7168,256
19056,7168,256
19716,7168,256
19846,7168,256
19927,7168,256
20801,7168,256
21270,7168,256
21465,7168,256
21469,7168,256
21514,7168,256
21664,7168,256
21698,7168,256
22041,7168,256
22043,7168,256
22108,7168,256
22430,7168,256
22470,7168,256
22723,7168,256
23915,7168,256
24218,7168,256
24296,7168,256
24997,7168,256
25714,7168,256
25800,7168,256
27152,7168,256
28039,7168,256
28076,7168,256
28276,7168,256
28462,7168,256
28832,7168,256
30414,7168,256
30421,7168,256
31884,7168,256
33024,7168,256
217,7168,2304
230,7168,2304
248,7168,2304
281,7168,2304
293,7168,2304
295,7168,2304
324,7168,2304
371,7168,2304
375,7168,2304
884,7168,2304
1681,7168,2304
1755,7168,2304
1782,7168,2304
1929,7168,2304
1935,7168,2304
1939,7168,2304
1956,7168,2304
2150,7168,2304
2321,7168,2304
2458,7168,2304
2474,7168,2304
2575,7168,2304
2756,7168,2304
2778,7168,2304
2985,7168,2304
3023,7168,2304
3048,7168,2304
3067,7168,2304
3104,7168,2304
3214,7168,2304
3405,7168,2304
3549,7168,2304
3556,7168,2304
3792,7168,2304
3891,7168,2304
4001,7168,2304
4137,7168,2304
4163,7168,2304
4245,7168,2304
4883,7168,2304
4966,7168,2304
4973,7168,2304
5146,7168,2304
5167,7168,2304
5464,7168,2304
5482,7168,2304
5867,7168,2304
6000,7168,2304
6341,7168,2304
6399,7168,2304
7429,7168,2304
7603,7168,2304
7899,7168,2304
7906,7168,2304
7930,7168,2304
8133,7168,2304
8366,7168,2304
8392,7168,2304
8948,7168,2304
8973,7168,2304
9020,7168,2304
9052,7168,2304
9182,7168,2304
9237,7168,2304
9412,7168,2304
9539,7168,2304
9547,7168,2304
9559,7168,2304
9593,7168,2304
9778,7168,2304
9801,7168,2304
9828,7168,2304
9831,7168,2304
9886,7168,2304
10043,7168,2304
10144,7168,2304
10225,7168,2304
10530,7168,2304
11031,7168,2304
11061,7168,2304
11196,7168,2304
11239,7168,2304
11301,7168,2304
11557,7168,2304
11686,7168,2304
11857,7168,2304
11973,7168,2304
12255,7168,2304
12903,7168,2304
12943,7168,2304
12973,7168,2304
13133,7168,2304
13356,7168,2304
13856,7168,2304
14571,7168,2304
14748,7168,2304
14986,7168,2304
15087,7168,2304
15388,7168,2304
15667,7168,2304
15782,7168,2304
16260,7168,2304
17505,7168,2304
17565,7168,2304
17838,7168,2304
17883,7168,2304
18014,7168,2304
18190,7168,2304
18575,7168,2304
18580,7168,2304
19247,7168,2304
19259,7168,2304
19650,7168,2304
19662,7168,2304
20033,7168,2304
20299,7168,2304
20499,7168,2304
20502,7168,2304
21180,7168,2304
23069,7168,2304
23586,7168,2304
23875,7168,2304
24071,7168,2304
24288,7168,2304
25162,7168,2304
26338,7168,2304
26915,7168,2304
27423,7168,2304
27754,7168,2304
28193,7168,2304
29142,7168,2304
30514,7168,2304
30693,7168,2304
31666,7168,2304
31848,7168,2304
31992,7168,2304
32608,7168,2304
33024,7168,2304
