M,N,K,q_dtype_w
17,384,128,torch.int8
20,384,128,torch.float8_e4m3fn
28,384,128,torch.int8
160,384,128,torch.int8
512,384,128,torch.int8
1280,384,128,torch.int8
9,384,2048,torch.float8_e4m3fn
14,384,2048,torch.float8_e4m3fn
80,384,2048,torch.int8
160,384,2048,torch.int8
512,384,2048,torch.int8
10240,384,2048,torch.float8_e4m3fn
20000,384,2048,torch.int8
3,512,640,torch.float8_e4m3fn
14,512,640,torch.int8
32,512,640,torch.int8
56,512,640,torch.int8
96,512,640,torch.int8
3072,512,640,torch.float8_e4m3fn
32768,512,640,torch.int8
1,768,256,torch.int8
2,768,256,torch.int8
4,768,256,torch.int8
6,768,256,torch.int8
9,768,256,torch.int8
10,768,256,torch.float8_e4m3fn
13,768,256,torch.int8
17,768,256,torch.int8
40,768,256,torch.int8
48,768,256,torch.int8
1536,768,256,torch.float8_e4m3fn
1536,768,256,torch.int8
8192,768,256,torch.float8_e4m3fn
20480,768,256,torch.int8
6,768,896,torch.int8
8,768,896,torch.int8
10,768,896,torch.int8
20,768,896,torch.int8
24,768,896,torch.int8
32,768,896,torch.float8_e4m3fn
224,768,896,torch.int8
896,768,896,torch.int8
2000,768,896,torch.int8
3072,768,896,torch.int8
3,768,6784,torch.int8
5,768,6784,torch.int8
12,768,6784,torch.int8
13,768,6784,torch.int8
320,768,6784,torch.int8
448,768,6784,torch.int8
3072,768,6784,torch.float8_e4m3fn
10240,768,6784,torch.int8
24576,768,6784,torch.int8
1,768,19968,torch.float8_e4m3fn
1,768,19968,torch.int8
7,768,19968,torch.int8
12,768,19968,torch.int8
17,768,19968,torch.float8_e4m3fn
17,768,19968,torch.int8
20,768,19968,torch.int8
40,768,19968,torch.float8_e4m3fn
256,768,19968,torch.float8_e4m3fn
320,768,19968,torch.int8
2560,768,19968,torch.int8
2,800,4096,torch.float8_e4m3fn
4,800,4096,torch.float8_e4m3fn
5,800,4096,torch.int8
10,800,4096,torch.int8
11,800,4096,torch.float8_e4m3fn
17,800,4096,torch.float8_e4m3fn
24,800,4096,torch.float8_e4m3fn
10,800,5120,torch.int8
12,800,5120,torch.int8
24,800,5120,torch.int8
56,800,5120,torch.int8
96,800,5120,torch.float8_e4m3fn
384,800,5120,torch.int8
1536,800,5120,torch.float8_e4m3fn
3333,800,5120,torch.int8
16384,800,5120,torch.float8_e4m3fn
3,800,19968,torch.int8
7,800,19968,torch.int8
11,800,19968,torch.int8
28,800,19968,torch.float8_e4m3fn
96,800,19968,torch.int8
128,800,19968,torch.float8_e4m3fn
128,800,19968,torch.int8
300,800,19968,torch.float8_e4m3fn
4096,800,19968,torch.float8_e4m3fn
6000,800,19968,torch.int8
20480,800,19968,torch.int8
49152,800,19968,torch.int8
7,800,25600,torch.int8
10,800,25600,torch.float8_e4m3fn
12,800,25600,torch.int8
13,800,25600,torch.int8
20,800,25600,torch.int8
28,800,25600,torch.int8
160,800,25600,torch.int8
768,800,25600,torch.float8_e4m3fn
2048,800,25600,torch.int8
6144,800,25600,torch.int8
11,1024,768,torch.float8_e4m3fn
15,1024,768,torch.int8
24,1024,768,torch.int8
112,1024,768,torch.int8
224,1024,768,torch.int8
448,1024,768,torch.float8_e4m3fn
1280,1024,768,torch.int8
1536,1024,768,torch.int8
3072,1024,768,torch.float8_e4m3fn
2,1024,3584,torch.int8
4,1024,3584,torch.int8
11,1024,3584,torch.float8_e4m3fn
12,1024,3584,torch.int8
20,1024,3584,torch.float8_e4m3fn
24,1024,3584,torch.float8_e4m3fn
32,1024,3584,torch.float8_e4m3fn
96,1024,3584,torch.float8_e4m3fn
100,1024,3584,torch.float8_e4m3fn
448,1024,3584,torch.int8
640,1024,3584,torch.float8_e4m3fn
24576,1024,3584,torch.int8
4,1024,8192,torch.int8
14,1024,8192,torch.int8
17,1024,8192,torch.float8_e4m3fn
20,1024,8192,torch.int8
24,1024,8192,torch.float8_e4m3fn
40,1024,8192,torch.float8_e4m3fn
333,1024,8192,torch.float8_e4m3fn
512,1024,8192,torch.float8_e4m3fn
2560,1024,8192,torch.int8
49152,1024,8192,torch.int8
3,1280,3200,torch.float8_e4m3fn
14,1280,3200,torch.int8
20,1280,3200,torch.int8
32,1280,3200,torch.int8
896,1280,3200,torch.int8
4,1280,8192,torch.float8_e4m3fn
12,1280,8192,torch.int8
333,1280,8192,torch.int8
3072,1280,8192,torch.int8
20480,1280,8192,torch.int8
1,1280,13312,torch.int8
8,1280,13312,torch.int8
10,1280,13312,torch.float8_e4m3fn
11,1280,13312,torch.int8
20,1280,13312,torch.float8_e4m3fn
28,1280,13312,torch.int8
48,1280,13312,torch.int8
256,1280,13312,torch.int8
2,1792,640,torch.float8_e4m3fn
14,1792,640,torch.int8
17,1792,640,torch.float8_e4m3fn
300,1792,640,torch.int8
2000,1792,640,torch.float8_e4m3fn
2560,1792,640,torch.int8
20000,1792,640,torch.float8_e4m3fn
4,1792,5120,torch.int8
7,1792,5120,torch.int8
16,1792,5120,torch.int8
28,1792,5120,torch.int8
32768,1792,5120,torch.int8
2,1792,7424,torch.int8
3,1792,7424,torch.float8_e4m3fn
11,1792,7424,torch.int8
12,1792,7424,torch.int8
14,1792,7424,torch.float8_e4m3fn
40,1792,7424,torch.int8
256,1792,7424,torch.int8
448,1792,7424,torch.float8_e4m3fn
3072,1792,7424,torch.int8
12288,1792,7424,torch.float8_e4m3fn
20480,1792,7424,torch.int8
65536,1792,7424,torch.int8
3,1792,19968,torch.int8
11,1792,19968,torch.int8
40,1792,19968,torch.int8
48,1792,19968,torch.int8
224,1792,19968,torch.float8_e4m3fn
500,1792,19968,torch.int8
3072,1792,19968,torch.float8_e4m3fn
2,1920,6784,torch.float8_e4m3fn
9,1920,6784,torch.float8_e4m3fn
16,1920,6784,torch.int8
17,1920,6784,torch.float8_e4m3fn
112,1920,6784,torch.int8
896,1920,6784,torch.int8
5120,1920,6784,torch.float8_e4m3fn
1,1920,19968,torch.float8_e4m3fn
2,1920,19968,torch.float8_e4m3fn
6,1920,19968,torch.int8
13,1920,19968,torch.float8_e4m3fn
16,1920,19968,torch.int8
20,1920,19968,torch.int8
32,1920,19968,torch.int8
40,1920,19968,torch.int8
512,1920,19968,torch.int8
1536,1920,19968,torch.int8
16384,1920,19968,torch.float8_e4m3fn
3,2304,128,torch.int8
6,2304,128,torch.int8
32,2304,128,torch.int8
48,2304,128,torch.int8
56,2304,128,torch.int8
224,2304,128,torch.int8
2560,2304,128,torch.int8
11,2304,3200,torch.float8_e4m3fn
128,2304,3200,torch.float8_e4m3fn
300,2304,3200,torch.int8
1280,2304,3200,torch.int8
3072,2304,3200,torch.int8
11,2304,16384,torch.int8
13,2304,16384,torch.float8_e4m3fn
20,2304,16384,torch.float8_e4m3fn
24,2304,16384,torch.int8
32,2304,16384,torch.float8_e4m3fn
48,2304,16384,torch.int8
64,2304,16384,torch.float8_e4m3fn
300,2304,16384,torch.float8_e4m3fn
1234,2304,16384,torch.int8
3072,2304,16384,torch.int8
5,2560,640,torch.int8
8,2560,640,torch.int8
10,2560,640,torch.int8
14,2560,640,torch.int8
17,2560,640,torch.float8_e4m3fn
64,2560,640,torch.int8
96,2560,640,torch.float8_e4m3fn
160,2560,640,torch.int8
512,2560,640,torch.float8_e4m3fn
24576,2560,640,torch.int8
3,2560,8192,torch.float8_e4m3fn
7,2560,8192,torch.float8_e4m3fn
10,2560,8192,torch.float8_e4m3fn
14,2560,8192,torch.int8
24,2560,8192,torch.int8
56,2560,8192,torch.int8
96,2560,8192,torch.int8
192,2560,8192,torch.int8
320,2560,8192,torch.float8_e4m3fn
896,2560,8192,torch.int8
4,3584,8192,torch.int8
9,3584,8192,torch.float8_e4m3fn
13,3584,8192,torch.int8
28,3584,8192,torch.int8
64,3584,8192,torch.int8
128,3584,8192,torch.int8
320,3584,8192,torch.int8
896,3584,8192,torch.int8
1024,3584,8192,torch.int8
5120,3584,8192,torch.int8
20480,3584,8192,torch.float8_e4m3fn
2,4608,7424,torch.int8
3,4608,7424,torch.int8
8,4608,7424,torch.int8
12,4608,7424,torch.int8
16,4608,7424,torch.int8
17,4608,7424,torch.float8_e4m3fn
24,4608,7424,torch.int8
48,4608,7424,torch.int8
200,4608,7424,torch.float8_e4m3fn
320,4608,7424,torch.int8
2560,4608,7424,torch.float8_e4m3fn
3072,4608,7424,torch.int8
7,4608,16384,torch.int8
10,4608,16384,torch.int8
32,4608,16384,torch.float8_e4m3fn
192,4608,16384,torch.int8
256,4608,16384,torch.float8_e4m3fn
320,4608,16384,torch.int8
384,4608,16384,torch.int8
896,4608,16384,torch.float8_e4m3fn
8192,4608,16384,torch.float8_e4m3fn
49152,4608,16384,torch.int8
5,5120,640,torch.int8
8,5120,640,torch.float8_e4m3fn
10,5120,640,torch.int8
17,5120,640,torch.int8
40,5120,640,torch.float8_e4m3fn
320,5120,640,torch.float8_e4m3fn
768,5120,640,torch.int8
2,5120,1280,torch.float8_e4m3fn
3,5120,1280,torch.float8_e4m3fn
4,5120,1280,torch.int8
8,5120,1280,torch.int8
9,5120,1280,torch.int8
12,5120,1280,torch.int8
13,5120,1280,torch.int8
17,5120,1280,torch.int8
24,5120,1280,torch.int8
40,5120,1280,torch.int8
160,5120,1280,torch.int8
224,5120,1280,torch.float8_e4m3fn
2048,5120,1280,torch.float8_e4m3fn
48,5120,3200,torch.float8_e4m3fn
48,5120,3200,torch.int8
4096,5120,3200,torch.float8_e4m3fn
3,5120,5120,torch.int8
6,5120,5120,torch.int8
9,5120,5120,torch.int8
17,5120,5120,torch.int8
112,5120,5120,torch.float8_e4m3fn
224,5120,5120,torch.int8
20,5120,6400,torch.float8_e4m3fn
28,5120,6400,torch.int8
40,5120,6400,torch.float8_e4m3fn
56,5120,6400,torch.float8_e4m3fn
384,5120,6400,torch.float8_e4m3fn
640,5120,6400,torch.int8
2048,5120,6400,torch.float8_e4m3fn
10240,5120,6400,torch.float8_e4m3fn
10240,5120,6400,torch.int8
28,5120,8192,torch.int8
64,5120,8192,torch.int8
96,5120,8192,torch.int8
112,5120,8192,torch.float8_e4m3fn
112,5120,8192,torch.int8
224,5120,8192,torch.int8
512,5120,8192,torch.int8
768,5120,8192,torch.int8
5120,5120,8192,torch.float8_e4m3fn
5,5120,19968,torch.int8
10,5120,19968,torch.int8
14,5120,19968,torch.int8
48,5120,19968,torch.int8
112,5120,19968,torch.int8
192,5120,19968,torch.int8
448,5120,19968,torch.int8
1000,5120,19968,torch.float8_e4m3fn
10000,5120,19968,torch.float8_e4m3fn
20000,5120,19968,torch.int8
2,5120,25600,torch.float8_e4m3fn
10,5120,25600,torch.int8
20,5120,25600,torch.float8_e4m3fn
20,5120,25600,torch.int8
32,5120,25600,torch.float8_e4m3fn
80,5120,25600,torch.int8
384,5120,25600,torch.float8_e4m3fn
384,5120,25600,torch.int8
8,6400,1024,torch.int8
12,6400,1024,torch.int8
20,6400,1024,torch.int8
24,6400,1024,torch.int8
48,6400,1024,torch.int8
64,6400,1024,torch.int8
80,6400,1024,torch.int8
200,6400,1024,torch.float8_e4m3fn
1280,6400,1024,torch.int8
6144,6400,1024,torch.int8
3,6400,5120,torch.int8
5,6400,5120,torch.int8
11,6400,5120,torch.float8_e4m3fn
11,6400,5120,torch.int8
15,6400,5120,torch.float8_e4m3fn
24,6400,5120,torch.int8
40,6400,5120,torch.float8_e4m3fn
56,6400,5120,torch.int8
160,6400,5120,torch.int8
320,6400,5120,torch.float8_e4m3fn
5120,6400,5120,torch.int8
7,6400,6400,torch.int8
14,6400,6400,torch.float8_e4m3fn
96,6400,6400,torch.int8
224,6400,6400,torch.int8
300,6400,6400,torch.int8
333,6400,6400,torch.int8
777,6400,6400,torch.int8
2048,6400,6400,torch.int8
4096,6400,6400,torch.int8
5120,6400,6400,torch.float8_e4m3fn
384,7168,2048,torch.float8_e4m3fn
384,7168,2048,torch.int8
24576,7168,2048,torch.int8
12,7168,4096,torch.int8
28,7168,4096,torch.int8
40,7168,4096,torch.float8_e4m3fn
448,7168,4096,torch.int8
1234,7168,4096,torch.int8
10240,7168,4096,torch.float8_e4m3fn
20480,7168,4096,torch.int8
13,7168,8192,torch.float8_e4m3fn
20,7168,8192,torch.int8
448,7168,8192,torch.float8_e4m3fn
2000,7168,8192,torch.float8_e4m3fn
3,7424,768,torch.float8_e4m3fn
6,7424,768,torch.float8_e4m3fn
9,7424,768,torch.int8
28,7424,768,torch.float8_e4m3fn
40,7424,768,torch.int8
56,7424,768,torch.int8
64,7424,768,torch.int8
100,7424,768,torch.int8
320,7424,768,torch.int8
896,7424,768,torch.float8_e4m3fn
1234,7424,768,torch.float8_e4m3fn
3000,7424,768,torch.float8_e4m3fn
10000,7424,768,torch.float8_e4m3fn
5,7424,8192,torch.int8
8,7424,8192,torch.int8
9,7424,8192,torch.int8
13,7424,8192,torch.float8_e4m3fn
13,7424,8192,torch.int8
56,7424,8192,torch.int8
300,7424,8192,torch.int8
20,8192,1024,torch.int8
28,8192,1024,torch.int8
224,8192,1024,torch.int8
384,8192,1024,torch.float8_e4m3fn
5120,8192,1024,torch.int8
10000,8192,1024,torch.int8
2,8192,2048,torch.int8
3,8192,2048,torch.int8
7,8192,2048,torch.int8
56,8192,2048,torch.int8
96,8192,2048,torch.int8
896,8192,2048,torch.int8
1536,8192,2048,torch.float8_e4m3fn
2000,8192,2048,torch.float8_e4m3fn
2560,8192,2048,torch.int8
3072,8192,2048,torch.int8
6144,8192,2048,torch.int8
49152,8192,2048,torch.int8
65536,8192,2048,torch.int8
6,8192,3584,torch.int8
14,8192,3584,torch.int8
80,8192,3584,torch.float8_e4m3fn
192,8192,3584,torch.int8
384,8192,3584,torch.float8_e4m3fn
768,8192,3584,torch.float8_e4m3fn
4096,8192,3584,torch.float8_e4m3fn
6000,8192,3584,torch.int8
48,8192,7168,torch.float8_e4m3fn
384,8192,7168,torch.float8_e4m3fn
448,8192,7168,torch.float8_e4m3fn
3072,8192,7168,torch.float8_e4m3fn
12288,8192,7168,torch.int8
40000,8192,7168,torch.int8
24,8192,8192,torch.int8
768,8192,8192,torch.float8_e4m3fn
768,8192,8192,torch.int8
1536,8192,8192,torch.int8
2560,8192,8192,torch.int8
4,8192,16384,torch.int8
5,8192,16384,torch.float8_e4m3fn
24,8192,16384,torch.float8_e4m3fn
28,8192,16384,torch.int8
32,8192,16384,torch.int8
96,8192,16384,torch.int8
128,8192,16384,torch.int8
448,8192,16384,torch.int8
512,8192,16384,torch.int8
49152,8192,16384,torch.int8
4,8192,28672,torch.int8
9,8192,28672,torch.float8_e4m3fn
11,8192,28672,torch.int8
17,8192,28672,torch.int8
48,8192,28672,torch.int8
96,8192,28672,torch.int8
1536,8192,28672,torch.int8
65536,8192,28672,torch.int8
3,8192,49920,torch.int8
7,8192,49920,torch.int8
11,8192,49920,torch.float8_e4m3fn
13,8192,49920,torch.int8
15,8192,49920,torch.int8
160,8192,49920,torch.int8
4,8448,256,torch.int8
8,8448,256,torch.int8
16,8448,256,torch.float8_e4m3fn
28,8448,256,torch.float8_e4m3fn
32,8448,256,torch.int8
48,8448,256,torch.int8
56,8448,256,torch.int8
64,8448,256,torch.float8_e4m3fn
64,8448,256,torch.int8
192,8448,256,torch.float8_e4m3fn
1280,8448,256,torch.int8
2560,8448,256,torch.float8_e4m3fn
32768,8448,256,torch.int8
2,8448,640,torch.int8
7,8448,640,torch.float8_e4m3fn
384,8448,640,torch.int8
896,8448,640,torch.float8_e4m3fn
1536,8448,640,torch.int8
8192,8448,640,torch.int8
20480,8448,640,torch.float8_e4m3fn
49152,8448,640,torch.int8
2,8448,3584,torch.int8
5,8448,3584,torch.float8_e4m3fn
6,8448,3584,torch.int8
7,8448,3584,torch.int8
8,8448,3584,torch.int8
32,8448,3584,torch.int8
192,8448,3584,torch.int8
320,8448,3584,torch.int8
384,8448,3584,torch.float8_e4m3fn
512,8448,3584,torch.int8
1024,8448,3584,torch.float8_e4m3fn
20480,8448,3584,torch.int8
12,8448,6784,torch.int8
640,8448,6784,torch.int8
1536,8448,6784,torch.int8
20480,8448,6784,torch.int8
17,8448,30080,torch.float8_e4m3fn
40,8448,30080,torch.int8
160,8448,30080,torch.float8_e4m3fn
3072,8448,30080,torch.int8
12288,8448,30080,torch.int8
32768,8448,30080,torch.int8
3,9216,896,torch.int8
5,9216,896,torch.float8_e4m3fn
6,9216,896,torch.float8_e4m3fn
7,9216,896,torch.int8
10,9216,896,torch.int8
11,9216,896,torch.float8_e4m3fn
28,9216,896,torch.int8
32,9216,896,torch.int8
40,9216,896,torch.int8
48,9216,896,torch.int8
80,9216,896,torch.int8
96,9216,896,torch.int8
32768,9216,896,torch.int8
5,9216,8192,torch.int8
9,9216,8192,torch.float8_e4m3fn
28,9216,8192,torch.float8_e4m3fn
40,9216,8192,torch.int8
192,9216,8192,torch.int8
1024,9216,8192,torch.int8
2560,9216,8192,torch.float8_e4m3fn
4096,9216,8192,torch.float8_e4m3fn
6000,9216,8192,torch.int8
65536,9216,8192,torch.float8_e4m3fn
4,9216,16384,torch.int8
15,9216,16384,torch.float8_e4m3fn
17,9216,16384,torch.int8
24576,9216,16384,torch.int8
7,9216,49920,torch.int8
9,9216,49920,torch.float8_e4m3fn
12,9216,49920,torch.int8
17,9216,49920,torch.int8
20,9216,49920,torch.int8
56,9216,49920,torch.int8
192,9216,49920,torch.int8
512,9216,49920,torch.float8_e4m3fn
2048,9216,49920,torch.int8
5,10240,3200,torch.int8
17,10240,3200,torch.int8
33,10240,3200,torch.int8
56,10240,3200,torch.int8
448,10240,3200,torch.int8
1024,10240,3200,torch.int8
1280,10240,3200,torch.int8
1,10240,7168,torch.float8_e4m3fn
1,10240,7168,torch.int8
7,10240,7168,torch.float8_e4m3fn
8,10240,7168,torch.float8_e4m3fn
9,10240,7168,torch.int8
11,10240,7168,torch.int8
14,10240,7168,torch.int8
17,10240,7168,torch.float8_e4m3fn
20,10240,7168,torch.int8
32,10240,7168,torch.int8
40,10240,7168,torch.int8
48,10240,7168,torch.int8
80,10240,7168,torch.int8
128,10240,7168,torch.int8
160,10240,7168,torch.int8
1536,10240,7168,torch.int8
49152,10240,7168,torch.int8
12,10240,8192,torch.int8
14,10240,8192,torch.float8_e4m3fn
15,10240,8192,torch.int8
56,10240,8192,torch.int8
80,10240,8192,torch.float8_e4m3fn
192,10240,8192,torch.int8
1536,10240,8192,torch.int8
7,12800,5120,torch.int8
10,12800,5120,torch.int8
13,12800,5120,torch.int8
17,12800,5120,torch.float8_e4m3fn
96,12800,5120,torch.int8
192,12800,5120,torch.int8
320,12800,5120,torch.int8
49152,12800,5120,torch.int8
2,12800,6656,torch.int8
4,12800,6656,torch.int8
33,12800,6656,torch.int8
56,12800,6656,torch.int8
192,12800,6656,torch.int8
640,12800,6656,torch.int8
14,12800,7168,torch.int8
15,12800,7168,torch.int8
24,12800,7168,torch.int8
40,12800,7168,torch.float8_e4m3fn
40,12800,7168,torch.int8
2048,12800,7168,torch.int8
6000,12800,7168,torch.float8_e4m3fn
1,12800,7424,torch.int8
3,12800,7424,torch.int8
7,12800,7424,torch.float8_e4m3fn
9,12800,7424,torch.int8
20,12800,7424,torch.int8
24,12800,7424,torch.int8
100,12800,7424,torch.int8
40000,12800,7424,torch.float8_e4m3fn
3,12800,19968,torch.float8_e4m3fn
15,12800,19968,torch.int8
96,12800,19968,torch.int8
320,12800,19968,torch.float8_e4m3fn
640,12800,19968,torch.int8
896,12800,19968,torch.int8
6000,12800,19968,torch.int8
2,13312,1280,torch.int8
13,13312,1280,torch.int8
32,13312,1280,torch.int8
80,13312,1280,torch.int8
112,13312,1280,torch.int8
6144,13312,1280,torch.int8
17,13312,16384,torch.float8_e4m3fn
80,13312,16384,torch.float8_e4m3fn
320,13312,16384,torch.float8_e4m3fn
3072,13312,16384,torch.int8
2,16384,2048,torch.int8
5,16384,2048,torch.int8
10,16384,2048,torch.int8
13,16384,2048,torch.int8
17,16384,2048,torch.int8
24,16384,2048,torch.float8_e4m3fn
80,16384,2048,torch.int8
320,16384,2048,torch.int8
448,16384,2048,torch.int8
768,16384,2048,torch.float8_e4m3fn
5120,16384,2048,torch.float8_e4m3fn
11,16384,4096,torch.float8_e4m3fn
14,16384,4096,torch.float8_e4m3fn
33,16384,4096,torch.float8_e4m3fn
320,16384,4096,torch.int8
768,16384,4096,torch.int8
12288,16384,4096,torch.int8
2,16384,6656,torch.int8
13,16384,6656,torch.int8
256,16384,6656,torch.float8_e4m3fn
6144,16384,6656,torch.int8
12288,16384,6656,torch.int8
11,16384,8192,torch.float8_e4m3fn
40,16384,8192,torch.int8
48,16384,8192,torch.int8
96,16384,8192,torch.int8
20480,16384,8192,torch.int8
3,16384,13312,torch.int8
200,16384,13312,torch.int8
384,16384,13312,torch.int8
3333,16384,13312,torch.float8_e4m3fn
6144,16384,13312,torch.int8
9,16384,26624,torch.int8
12,16384,26624,torch.int8
20,16384,26624,torch.float8_e4m3fn
200,16384,26624,torch.int8
448,16384,26624,torch.int8
1536,16384,26624,torch.int8
3072,16384,26624,torch.int8
5,16384,28672,torch.int8
8,16384,28672,torch.float8_e4m3fn
9,16384,28672,torch.float8_e4m3fn
10,16384,28672,torch.int8
12,16384,28672,torch.int8
56,16384,28672,torch.int8
64,16384,28672,torch.int8
128,16384,28672,torch.int8
512,16384,28672,torch.int8
5,26624,256,torch.int8
7,26624,256,torch.int8
11,26624,256,torch.int8
12,26624,256,torch.int8
13,26624,256,torch.int8
14,26624,256,torch.float8_e4m3fn
15,26624,256,torch.int8
224,26624,256,torch.int8
777,26624,256,torch.float8_e4m3fn
896,26624,256,torch.float8_e4m3fn
1000,26624,256,torch.float8_e4m3fn
2560,26624,256,torch.float8_e4m3fn
12288,26624,256,torch.float8_e4m3fn
5,26624,896,torch.float8_e4m3fn
7,26624,896,torch.int8
12,26624,896,torch.int8
16,26624,896,torch.int8
17,26624,896,torch.int8
28,26624,896,torch.float8_e4m3fn
32,26624,896,torch.int8
2048,26624,896,torch.int8
49152,26624,896,torch.int8
11,26624,2048,torch.int8
20,26624,2048,torch.int8
64,26624,2048,torch.int8
80,26624,2048,torch.float8_e4m3fn
128,26624,2048,torch.int8
6,26624,16384,torch.float8_e4m3fn
17,26624,16384,torch.int8
28,26624,16384,torch.int8
56,26624,16384,torch.float8_e4m3fn
300,26624,16384,torch.int8
768,26624,16384,torch.int8
2000,26624,16384,torch.int8
9,26624,30080,torch.float8_e4m3fn
12,26624,30080,torch.int8
13,26624,30080,torch.int8
48,26624,30080,torch.int8
56,26624,30080,torch.int8
320,26624,30080,torch.float8_e4m3fn
6144,26624,30080,torch.int8
2,28672,6400,torch.int8
8,28672,6400,torch.int8
16,28672,6400,torch.int8
28,28672,6400,torch.int8
128,28672,6400,torch.int8
192,28672,6400,torch.int8
