M,N,K,q_dtype_w
48,576,6400,torch.float8_e4m3fn
160,576,6400,torch.float8_e4m3fn
384,576,6400,torch.float8_e4m3fn
640,576,6400,torch.float8_e4m3fn
2560,576,6400,torch.float8_e4m3fn
3,576,7168,torch.float8_e4m3fn
7,576,7168,torch.float8_e4m3fn
13,576,7168,torch.float8_e4m3fn
20,576,7168,torch.float8_e4m3fn
40,576,7168,torch.float8_e4m3fn
64,576,7168,torch.float8_e4m3fn
160,576,7168,torch.float8_e4m3fn
4096,576,7168,torch.float8_e4m3fn
65536,576,7168,torch.float8_e4m3fn
6,800,5120,torch.float8_e4m3fn
12,800,5120,torch.float8_e4m3fn
3,1024,640,torch.float8_e4m3fn
14,1024,640,torch.float8_e4m3fn
96,1024,640,torch.float8_e4m3fn
160,1024,640,torch.float8_e4m3fn
2048,1024,640,torch.float8_e4m3fn
2560,1024,640,torch.float8_e4m3fn
40,1024,7168,torch.float8_e4m3fn
1280,1024,7168,torch.float8_e4m3fn
2,1024,8192,torch.float8_e4m3fn
5,1024,8192,torch.float8_e4m3fn
7,1024,8192,torch.float8_e4m3fn
11,1024,8192,torch.float8_e4m3fn
16,1024,8192,torch.float8_e4m3fn
48,1024,8192,torch.float8_e4m3fn
448,1024,8192,torch.float8_e4m3fn
777,1024,8192,torch.float8_e4m3fn
896,1024,8192,torch.float8_e4m3fn
1000,1024,8192,torch.float8_e4m3fn
32768,1024,8192,torch.float8_e4m3fn
65536,1024,8192,torch.float8_e4m3fn
1,1024,13312,torch.float8_e4m3fn
10,1024,13312,torch.float8_e4m3fn
12,1024,13312,torch.float8_e4m3fn
24,1024,13312,torch.float8_e4m3fn
40,1024,13312,torch.float8_e4m3fn
128,1024,13312,torch.float8_e4m3fn
384,1024,13312,torch.float8_e4m3fn
768,1024,13312,torch.float8_e4m3fn
40000,1024,13312,torch.float8_e4m3fn
1,1280,1024,torch.float8_e4m3fn
5,1280,1024,torch.float8_e4m3fn
768,1280,1024,torch.float8_e4m3fn
16384,1280,1024,torch.float8_e4m3fn
1,1280,5120,torch.float8_e4m3fn
2,1280,5120,torch.float8_e4m3fn
7,1280,5120,torch.float8_e4m3fn
8,1280,5120,torch.float8_e4m3fn
13,1280,5120,torch.float8_e4m3fn
320,1280,5120,torch.float8_e4m3fn
768,1280,5120,torch.float8_e4m3fn
4096,1280,5120,torch.float8_e4m3fn
2,1280,8192,torch.float8_e4m3fn
9,1280,8192,torch.float8_e4m3fn
10,1280,8192,torch.float8_e4m3fn
65536,1280,8192,torch.float8_e4m3fn
6,1280,9216,torch.float8_e4m3fn
7,1280,9216,torch.float8_e4m3fn
17,1280,9216,torch.float8_e4m3fn
24,1280,9216,torch.float8_e4m3fn
64,1280,9216,torch.float8_e4m3fn
192,1280,9216,torch.float8_e4m3fn
448,1280,9216,torch.float8_e4m3fn
2048,1280,9216,torch.float8_e4m3fn
65536,1280,9216,torch.float8_e4m3fn
11,1280,16384,torch.float8_e4m3fn
56,1280,16384,torch.float8_e4m3fn
224,1280,16384,torch.float8_e4m3fn
300,1280,16384,torch.float8_e4m3fn
1234,1280,16384,torch.float8_e4m3fn
8,1536,512,torch.float8_e4m3fn
12,1536,512,torch.float8_e4m3fn
15,1536,512,torch.float8_e4m3fn
20,1536,512,torch.float8_e4m3fn
1280,1536,512,torch.float8_e4m3fn
6000,1536,512,torch.float8_e4m3fn
28,1536,1024,torch.float8_e4m3fn
192,1536,1024,torch.float8_e4m3fn
512,1536,1024,torch.float8_e4m3fn
640,1536,1024,torch.float8_e4m3fn
5120,1536,1024,torch.float8_e4m3fn
6,1536,4096,torch.float8_e4m3fn
8,1536,4096,torch.float8_e4m3fn
10,1536,4096,torch.float8_e4m3fn
28,1536,4096,torch.float8_e4m3fn
32,1536,4096,torch.float8_e4m3fn
64,1536,4096,torch.float8_e4m3fn
256,1536,4096,torch.float8_e4m3fn
1024,1536,4096,torch.float8_e4m3fn
2048,1536,4096,torch.float8_e4m3fn
3333,1536,4096,torch.float8_e4m3fn
48,1536,5120,torch.float8_e4m3fn
128,1536,5120,torch.float8_e4m3fn
640,1536,5120,torch.float8_e4m3fn
777,1536,5120,torch.float8_e4m3fn
2048,1536,5120,torch.float8_e4m3fn
56,1536,7168,torch.float8_e4m3fn
160,1536,7168,torch.float8_e4m3fn
768,1536,7168,torch.float8_e4m3fn
1234,1536,7168,torch.float8_e4m3fn
1500,1536,7168,torch.float8_e4m3fn
8,1792,640,torch.float8_e4m3fn
32,1792,640,torch.float8_e4m3fn
40,1792,640,torch.float8_e4m3fn
128,1792,640,torch.float8_e4m3fn
11,1792,1536,torch.float8_e4m3fn
56,1792,1536,torch.float8_e4m3fn
320,1792,1536,torch.float8_e4m3fn
1,1792,4608,torch.float8_e4m3fn
5,1792,4608,torch.float8_e4m3fn
9,1792,4608,torch.float8_e4m3fn
16,1792,4608,torch.float8_e4m3fn
20,1792,4608,torch.float8_e4m3fn
28,1792,4608,torch.float8_e4m3fn
512,1792,4608,torch.float8_e4m3fn
1280,1792,4608,torch.float8_e4m3fn
4096,1792,4608,torch.float8_e4m3fn
5120,1792,4608,torch.float8_e4m3fn
49152,1792,4608,torch.float8_e4m3fn
6,1792,5120,torch.float8_e4m3fn
11,1792,5120,torch.float8_e4m3fn
33,1792,5120,torch.float8_e4m3fn
48,1792,5120,torch.float8_e4m3fn
160,1792,5120,torch.float8_e4m3fn
448,1792,5120,torch.float8_e4m3fn
1000,1792,5120,torch.float8_e4m3fn
48,1792,13312,torch.float8_e4m3fn
80,1792,13312,torch.float8_e4m3fn
448,1792,13312,torch.float8_e4m3fn
896,1792,13312,torch.float8_e4m3fn
3072,1792,13312,torch.float8_e4m3fn
2,2048,512,torch.float8_e4m3fn
11,2048,512,torch.float8_e4m3fn
13,2048,512,torch.float8_e4m3fn
32,2048,512,torch.float8_e4m3fn
4096,2048,512,torch.float8_e4m3fn
13,2048,7168,torch.float8_e4m3fn
160,2048,7168,torch.float8_e4m3fn
896,2048,7168,torch.float8_e4m3fn
2000,2048,7168,torch.float8_e4m3fn
40000,2048,7168,torch.float8_e4m3fn
3,2048,16384,torch.float8_e4m3fn
8,2048,16384,torch.float8_e4m3fn
14,2048,16384,torch.float8_e4m3fn
20,2048,16384,torch.float8_e4m3fn
256,2048,16384,torch.float8_e4m3fn
1024,2048,16384,torch.float8_e4m3fn
1234,2048,16384,torch.float8_e4m3fn
8,2112,6656,torch.float8_e4m3fn
13,2112,6656,torch.float8_e4m3fn
17,2112,6656,torch.float8_e4m3fn
20,2112,6656,torch.float8_e4m3fn
24,2112,6656,torch.float8_e4m3fn
64,2112,6656,torch.float8_e4m3fn
333,2112,6656,torch.float8_e4m3fn
3333,2112,6656,torch.float8_e4m3fn
12288,2112,6656,torch.float8_e4m3fn
384,2112,7168,torch.float8_e4m3fn
640,2112,7168,torch.float8_e4m3fn
1500,2112,7168,torch.float8_e4m3fn
2560,2112,7168,torch.float8_e4m3fn
49152,2112,7168,torch.float8_e4m3fn
2,2240,7168,torch.float8_e4m3fn
9,2240,7168,torch.float8_e4m3fn
32,2240,7168,torch.float8_e4m3fn
64,2240,7168,torch.float8_e4m3fn
96,2240,7168,torch.float8_e4m3fn
320,2240,7168,torch.float8_e4m3fn
512,2240,7168,torch.float8_e4m3fn
10,2304,5120,torch.float8_e4m3fn
11,2304,5120,torch.float8_e4m3fn
17,2304,5120,torch.float8_e4m3fn
20,2304,5120,torch.float8_e4m3fn
56,2304,5120,torch.float8_e4m3fn
333,2304,5120,torch.float8_e4m3fn
1024,2304,5120,torch.float8_e4m3fn
2048,2304,5120,torch.float8_e4m3fn
2560,2304,5120,torch.float8_e4m3fn
16384,2304,5120,torch.float8_e4m3fn
5,2304,6144,torch.float8_e4m3fn
24,2304,6144,torch.float8_e4m3fn
40,2304,6144,torch.float8_e4m3fn
48,2304,6144,torch.float8_e4m3fn
224,2304,6144,torch.float8_e4m3fn
896,2304,6144,torch.float8_e4m3fn
10240,2304,6144,torch.float8_e4m3fn
15,2304,13312,torch.float8_e4m3fn
24,2304,13312,torch.float8_e4m3fn
96,2304,13312,torch.float8_e4m3fn
448,2304,13312,torch.float8_e4m3fn
4,2304,16384,torch.float8_e4m3fn
6,2304,16384,torch.float8_e4m3fn
17,2304,16384,torch.float8_e4m3fn
48,2304,16384,torch.float8_e4m3fn
65536,2304,16384,torch.float8_e4m3fn
3,2560,5120,torch.float8_e4m3fn
5,2560,5120,torch.float8_e4m3fn
8,2560,5120,torch.float8_e4m3fn
10,2560,5120,torch.float8_e4m3fn
13,2560,5120,torch.float8_e4m3fn
32,2560,5120,torch.float8_e4m3fn
1000,2560,5120,torch.float8_e4m3fn
32768,2560,5120,torch.float8_e4m3fn
11,2560,6144,torch.float8_e4m3fn
15,2560,6144,torch.float8_e4m3fn
17,2560,6144,torch.float8_e4m3fn
448,2560,6144,torch.float8_e4m3fn
3333,2560,6144,torch.float8_e4m3fn
4,2560,8192,torch.float8_e4m3fn
20,2560,8192,torch.float8_e4m3fn
640,2560,8192,torch.float8_e4m3fn
6144,2560,8192,torch.float8_e4m3fn
10,2624,6144,torch.float8_e4m3fn
11,2624,6144,torch.float8_e4m3fn
28,2624,6144,torch.float8_e4m3fn
2000,2624,6144,torch.float8_e4m3fn
10240,2624,6144,torch.float8_e4m3fn
49152,2624,6144,torch.float8_e4m3fn
10,3072,1536,torch.float8_e4m3fn
56,3072,1536,torch.float8_e4m3fn
11,3072,2048,torch.float8_e4m3fn
15,3072,2048,torch.float8_e4m3fn
256,3072,2048,torch.float8_e4m3fn
384,3072,2048,torch.float8_e4m3fn
640,3072,2048,torch.float8_e4m3fn
777,3072,2048,torch.float8_e4m3fn
2048,3072,2048,torch.float8_e4m3fn
2560,3072,2048,torch.float8_e4m3fn
12288,3072,2048,torch.float8_e4m3fn
24576,3072,2048,torch.float8_e4m3fn
8,3072,3072,torch.float8_e4m3fn
15,3072,3072,torch.float8_e4m3fn
80,3072,3072,torch.float8_e4m3fn
112,3072,3072,torch.float8_e4m3fn
384,3072,3072,torch.float8_e4m3fn
500,3072,3072,torch.float8_e4m3fn
768,3072,3072,torch.float8_e4m3fn
10240,3072,3072,torch.float8_e4m3fn
32768,3072,3072,torch.float8_e4m3fn
20,3072,5120,torch.float8_e4m3fn
48,3072,5120,torch.float8_e4m3fn
56,3072,5120,torch.float8_e4m3fn
96,3072,5120,torch.float8_e4m3fn
300,3072,5120,torch.float8_e4m3fn
2000,3072,5120,torch.float8_e4m3fn
12288,3072,5120,torch.float8_e4m3fn
48,3584,5120,torch.float8_e4m3fn
1234,3584,5120,torch.float8_e4m3fn
17,3584,28672,torch.float8_e4m3fn
24,3584,28672,torch.float8_e4m3fn
48,3584,28672,torch.float8_e4m3fn
6000,3584,28672,torch.float8_e4m3fn
6144,3584,28672,torch.float8_e4m3fn
8192,3584,28672,torch.float8_e4m3fn
15,4096,512,torch.float8_e4m3fn
28,4096,512,torch.float8_e4m3fn
3072,4096,512,torch.float8_e4m3fn
49152,4096,512,torch.float8_e4m3fn
9,4096,2048,torch.float8_e4m3fn
80,4096,2048,torch.float8_e4m3fn
640,4096,2048,torch.float8_e4m3fn
2,4096,3072,torch.float8_e4m3fn
15,4096,3072,torch.float8_e4m3fn
20,4096,3072,torch.float8_e4m3fn
32,4096,3072,torch.float8_e4m3fn
56,4096,3072,torch.float8_e4m3fn
64,4096,3072,torch.float8_e4m3fn
768,4096,3072,torch.float8_e4m3fn
1280,4096,3072,torch.float8_e4m3fn
3333,4096,3072,torch.float8_e4m3fn
5120,4096,3072,torch.float8_e4m3fn
6144,4096,3072,torch.float8_e4m3fn
8,4096,7168,torch.float8_e4m3fn
128,4096,7168,torch.float8_e4m3fn
320,4096,7168,torch.float8_e4m3fn
1024,4096,7168,torch.float8_e4m3fn
1536,4096,7168,torch.float8_e4m3fn
3072,4096,7168,torch.float8_e4m3fn
5,4096,26624,torch.float8_e4m3fn
10,4096,26624,torch.float8_e4m3fn
13,4096,26624,torch.float8_e4m3fn
20,4096,26624,torch.float8_e4m3fn
896,4096,26624,torch.float8_e4m3fn
10240,4096,26624,torch.float8_e4m3fn
1,4608,4096,torch.float8_e4m3fn
9,4608,4096,torch.float8_e4m3fn
11,4608,4096,torch.float8_e4m3fn
17,4608,4096,torch.float8_e4m3fn
24,4608,4096,torch.float8_e4m3fn
40,4608,4096,torch.float8_e4m3fn
80,4608,4096,torch.float8_e4m3fn
256,4608,4096,torch.float8_e4m3fn
1536,4608,4096,torch.float8_e4m3fn
3,4608,7168,torch.float8_e4m3fn
6,4608,7168,torch.float8_e4m3fn
10,4608,7168,torch.float8_e4m3fn
11,4608,7168,torch.float8_e4m3fn
64,4608,7168,torch.float8_e4m3fn
512,4608,7168,torch.float8_e4m3fn
3,4608,16384,torch.float8_e4m3fn
4,4608,16384,torch.float8_e4m3fn
5,4608,16384,torch.float8_e4m3fn
13,4608,16384,torch.float8_e4m3fn
17,4608,16384,torch.float8_e4m3fn
33,4608,16384,torch.float8_e4m3fn
192,4608,16384,torch.float8_e4m3fn
320,4608,16384,torch.float8_e4m3fn
640,4608,16384,torch.float8_e4m3fn
6144,4608,16384,torch.float8_e4m3fn
5,5120,256,torch.float8_e4m3fn
6,5120,256,torch.float8_e4m3fn
20,5120,256,torch.float8_e4m3fn
640,5120,256,torch.float8_e4m3fn
65536,5120,256,torch.float8_e4m3fn
11,5120,640,torch.float8_e4m3fn
12,5120,640,torch.float8_e4m3fn
17,5120,640,torch.float8_e4m3fn
20,5120,640,torch.float8_e4m3fn
24,5120,640,torch.float8_e4m3fn
28,5120,640,torch.float8_e4m3fn
40,5120,640,torch.float8_e4m3fn
48,5120,640,torch.float8_e4m3fn
96,5120,640,torch.float8_e4m3fn
200,5120,640,torch.float8_e4m3fn
3072,5120,640,torch.float8_e4m3fn
2,5120,1280,torch.float8_e4m3fn
5,5120,1280,torch.float8_e4m3fn
20,5120,1280,torch.float8_e4m3fn
192,5120,1280,torch.float8_e4m3fn
333,5120,1280,torch.float8_e4m3fn
3072,5120,1280,torch.float8_e4m3fn
3333,5120,1280,torch.float8_e4m3fn
15,5120,1536,torch.float8_e4m3fn
17,5120,1536,torch.float8_e4m3fn
33,5120,1536,torch.float8_e4m3fn
56,5120,1536,torch.float8_e4m3fn
96,5120,1536,torch.float8_e4m3fn
12288,5120,1536,torch.float8_e4m3fn
6,5120,3072,torch.float8_e4m3fn
10,5120,3072,torch.float8_e4m3fn
14,5120,3072,torch.float8_e4m3fn
15,5120,3072,torch.float8_e4m3fn
40,5120,3072,torch.float8_e4m3fn
48,5120,3072,torch.float8_e4m3fn
56,5120,3072,torch.float8_e4m3fn
333,5120,3072,torch.float8_e4m3fn
4,5120,3200,torch.float8_e4m3fn
8,5120,3200,torch.float8_e4m3fn
10,5120,3200,torch.float8_e4m3fn
17,5120,3200,torch.float8_e4m3fn
2,5120,5120,torch.float8_e4m3fn
3,5120,5120,torch.float8_e4m3fn
7,5120,5120,torch.float8_e4m3fn
11,5120,5120,torch.float8_e4m3fn
17,5120,5120,torch.float8_e4m3fn
24,5120,5120,torch.float8_e4m3fn
1500,5120,5120,torch.float8_e4m3fn
4,5120,6400,torch.float8_e4m3fn
48,5120,6400,torch.float8_e4m3fn
224,5120,6400,torch.float8_e4m3fn
320,5120,6400,torch.float8_e4m3fn
20480,5120,6400,torch.float8_e4m3fn
8,5120,8192,torch.float8_e4m3fn
96,5120,8192,torch.float8_e4m3fn
256,5120,8192,torch.float8_e4m3fn
333,5120,8192,torch.float8_e4m3fn
1234,5120,8192,torch.float8_e4m3fn
1280,5120,8192,torch.float8_e4m3fn
11,5120,25600,torch.float8_e4m3fn
56,5120,25600,torch.float8_e4m3fn
3072,5120,25600,torch.float8_e4m3fn
65536,5120,25600,torch.float8_e4m3fn
13,6144,1536,torch.float8_e4m3fn
14,6144,1536,torch.float8_e4m3fn
17,6144,1536,torch.float8_e4m3fn
20,6144,1536,torch.float8_e4m3fn
40,6144,1536,torch.float8_e4m3fn
9,6144,2048,torch.float8_e4m3fn
17,6144,2048,torch.float8_e4m3fn
24,6144,2048,torch.float8_e4m3fn
768,6144,2048,torch.float8_e4m3fn
2000,6144,2048,torch.float8_e4m3fn
48,6144,2304,torch.float8_e4m3fn
448,6144,2304,torch.float8_e4m3fn
2560,6144,2304,torch.float8_e4m3fn
5,6144,3072,torch.float8_e4m3fn
10,6144,3072,torch.float8_e4m3fn
13,6144,3072,torch.float8_e4m3fn
112,6144,3072,torch.float8_e4m3fn
200,6144,3072,torch.float8_e4m3fn
1280,6144,3072,torch.float8_e4m3fn
12288,6144,3072,torch.float8_e4m3fn
3,6144,4096,torch.float8_e4m3fn
7,6144,4096,torch.float8_e4m3fn
192,6144,4096,torch.float8_e4m3fn
5120,6144,4096,torch.float8_e4m3fn
10000,6144,4096,torch.float8_e4m3fn
7,6144,5120,torch.float8_e4m3fn
14,6144,5120,torch.float8_e4m3fn
28,6144,5120,torch.float8_e4m3fn
40,6144,5120,torch.float8_e4m3fn
100,6144,5120,torch.float8_e4m3fn
192,6144,5120,torch.float8_e4m3fn
448,6144,5120,torch.float8_e4m3fn
777,6144,5120,torch.float8_e4m3fn
896,6144,5120,torch.float8_e4m3fn
200,6144,6144,torch.float8_e4m3fn
2560,6144,6144,torch.float8_e4m3fn
9,6400,5120,torch.float8_e4m3fn
20,6400,5120,torch.float8_e4m3fn
56,6400,5120,torch.float8_e4m3fn
5,6400,18432,torch.float8_e4m3fn
13,6400,18432,torch.float8_e4m3fn
15,6400,18432,torch.float8_e4m3fn
28,6400,18432,torch.float8_e4m3fn
40,6400,18432,torch.float8_e4m3fn
64,6400,18432,torch.float8_e4m3fn
96,6400,18432,torch.float8_e4m3fn
1280,6400,18432,torch.float8_e4m3fn
1536,6400,18432,torch.float8_e4m3fn
49152,6400,18432,torch.float8_e4m3fn
3,6656,1024,torch.float8_e4m3fn
5,6656,1024,torch.float8_e4m3fn
9,6656,1024,torch.float8_e4m3fn
15,6656,1024,torch.float8_e4m3fn
28,6656,1024,torch.float8_e4m3fn
32,6656,1024,torch.float8_e4m3fn
48,6656,1024,torch.float8_e4m3fn
10240,6656,1024,torch.float8_e4m3fn
12288,6656,1024,torch.float8_e4m3fn
13,6656,16384,torch.float8_e4m3fn
48,6656,16384,torch.float8_e4m3fn
640,6656,16384,torch.float8_e4m3fn
2000,6656,16384,torch.float8_e4m3fn
2,6656,28672,torch.float8_e4m3fn
7,6656,28672,torch.float8_e4m3fn
10,6656,28672,torch.float8_e4m3fn
24,6656,28672,torch.float8_e4m3fn
1280,6656,28672,torch.float8_e4m3fn
3072,6656,28672,torch.float8_e4m3fn
16384,6656,28672,torch.float8_e4m3fn
32768,6656,28672,torch.float8_e4m3fn
1,7168,256,torch.float8_e4m3fn
10,7168,256,torch.float8_e4m3fn
15,7168,256,torch.float8_e4m3fn
17,7168,256,torch.float8_e4m3fn
24,7168,256,torch.float8_e4m3fn
40,7168,256,torch.float8_e4m3fn
80,7168,256,torch.float8_e4m3fn
192,7168,256,torch.float8_e4m3fn
2000,7168,256,torch.float8_e4m3fn
24576,7168,256,torch.float8_e4m3fn
5,7168,512,torch.float8_e4m3fn
9,7168,512,torch.float8_e4m3fn
17,7168,512,torch.float8_e4m3fn
48,7168,512,torch.float8_e4m3fn
10000,7168,512,torch.float8_e4m3fn
4,7168,1024,torch.float8_e4m3fn
6,7168,1024,torch.float8_e4m3fn
10,7168,1024,torch.float8_e4m3fn
13,7168,1024,torch.float8_e4m3fn
14,7168,1024,torch.float8_e4m3fn
20,7168,1024,torch.float8_e4m3fn
32,7168,1024,torch.float8_e4m3fn
64,7168,1024,torch.float8_e4m3fn
96,7168,1024,torch.float8_e4m3fn
4096,7168,1024,torch.float8_e4m3fn
5,7168,2048,torch.float8_e4m3fn
24,7168,2048,torch.float8_e4m3fn
112,7168,2048,torch.float8_e4m3fn
2,7168,2304,torch.float8_e4m3fn
7,7168,2304,torch.float8_e4m3fn
640,7168,2304,torch.float8_e4m3fn
1,7168,3072,torch.float8_e4m3fn
3,7168,3072,torch.float8_e4m3fn
5,7168,3072,torch.float8_e4m3fn
6,7168,3072,torch.float8_e4m3fn
7,7168,3072,torch.float8_e4m3fn
8,7168,3072,torch.float8_e4m3fn
10,7168,3072,torch.float8_e4m3fn
56,7168,3072,torch.float8_e4m3fn
160,7168,3072,torch.float8_e4m3fn
256,7168,3072,torch.float8_e4m3fn
1536,7168,3072,torch.float8_e4m3fn
32768,7168,3072,torch.float8_e4m3fn
7,7168,4096,torch.float8_e4m3fn
9,7168,4096,torch.float8_e4m3fn
14,7168,4096,torch.float8_e4m3fn
15,7168,4096,torch.float8_e4m3fn
17,7168,4096,torch.float8_e4m3fn
28,7168,4096,torch.float8_e4m3fn
448,7168,4096,torch.float8_e4m3fn
896,7168,4096,torch.float8_e4m3fn
9,7168,4608,torch.float8_e4m3fn
11,7168,4608,torch.float8_e4m3fn
13,7168,4608,torch.float8_e4m3fn
64,7168,4608,torch.float8_e4m3fn
96,7168,4608,torch.float8_e4m3fn
640,7168,4608,torch.float8_e4m3fn
5,7168,8192,torch.float8_e4m3fn
384,7168,8192,torch.float8_e4m3fn
640,7168,8192,torch.float8_e4m3fn
10000,7168,8192,torch.float8_e4m3fn
2,7168,9216,torch.float8_e4m3fn
16,7168,9216,torch.float8_e4m3fn
20,7168,9216,torch.float8_e4m3fn
24,7168,9216,torch.float8_e4m3fn
28,7168,9216,torch.float8_e4m3fn
300,7168,9216,torch.float8_e4m3fn
384,7168,9216,torch.float8_e4m3fn
448,7168,9216,torch.float8_e4m3fn
5120,7168,9216,torch.float8_e4m3fn
3,7168,16384,torch.float8_e4m3fn
56,7168,16384,torch.float8_e4m3fn
512,7168,16384,torch.float8_e4m3fn
1,7168,18432,torch.float8_e4m3fn
2,7168,18432,torch.float8_e4m3fn
8,7168,18432,torch.float8_e4m3fn
10,7168,18432,torch.float8_e4m3fn
28,7168,18432,torch.float8_e4m3fn
33,7168,18432,torch.float8_e4m3fn
320,7168,18432,torch.float8_e4m3fn
1280,7168,18432,torch.float8_e4m3fn
6000,7168,18432,torch.float8_e4m3fn
49152,7168,18432,torch.float8_e4m3fn
12,8192,512,torch.float8_e4m3fn
192,8192,512,torch.float8_e4m3fn
500,8192,512,torch.float8_e4m3fn
2560,8192,512,torch.float8_e4m3fn
6144,8192,512,torch.float8_e4m3fn
12288,8192,512,torch.float8_e4m3fn
65536,8192,512,torch.float8_e4m3fn
3,8192,1024,torch.float8_e4m3fn
4,8192,1024,torch.float8_e4m3fn
28,8192,1024,torch.float8_e4m3fn
40,8192,1024,torch.float8_e4m3fn
192,8192,1024,torch.float8_e4m3fn
320,8192,1024,torch.float8_e4m3fn
6,8192,1536,torch.float8_e4m3fn
32,8192,1536,torch.float8_e4m3fn
56,8192,1536,torch.float8_e4m3fn
64,8192,1536,torch.float8_e4m3fn
10240,8192,1536,torch.float8_e4m3fn
7,8192,2048,torch.float8_e4m3fn
160,8192,2048,torch.float8_e4m3fn
1280,8192,2048,torch.float8_e4m3fn
13,8192,3584,torch.float8_e4m3fn
112,8192,3584,torch.float8_e4m3fn
320,8192,3584,torch.float8_e4m3fn
15,8192,5120,torch.float8_e4m3fn
224,8192,5120,torch.float8_e4m3fn
